txn_id,date,vehicle_id,origin_id,destination_id,revenue
TRIP0184,20/01/2024,VEH008,LOC004,LOC003,32020.44
TRIP0382,13-Jan-2024,veh009,LOC006,LOC003,32310.55
TRIP0044,04/27/2024,VEH008,LOC001,LOC006,34129.09
TRIP0371,20-Mar-2024,VEH012,LOC010,LOC009,14468.72
TRIP0065,07-Jan-2024,veh007,LOC002,LOC001,24375.28
TRIP0085,23/04/2024,VEH010,LOC010,LOC004,8151.68
TRIP0242,06-Feb-2024,VEH011,LOC008,LOC002,13142.43
TRIP0186,30/03/2024,VEH003,LOC005,LOC006,18078.02
TRIP0159,03/03/2024,VEH008,LOC004,LOC005,31902.66
TRIP0012,03-Apr-2024,VEH002,LOC008,LOC009,27535.28
TRIP0035,02/29/2024,VEH009 ,LOC009,LOC005,11631.5
TRIP0028,03/02/2024,VEH012,LOC003,LOC004,10400.13
TRIP0170,04/04/2024,VEH008,LOC009,LOC004,15182.12
TRIP0142,01-Mar-2024,VEH005,LOC003,LOC002,37823.93
TRIP0321,2024-03-23,VEH008,LOC001,LOC005,21831.86
TRIP0275,16-Apr-2024,VEH004,LOC008,LOC010,18777.07
TRIP0221,02/16/2024,VEH001,LOC003,LOC005,22100.44
TRIP0095,17/02/2024,VEH008,LOC005,LOC003,27059.89
TRIP0051,28-Apr-2024,VEH012,LOC009,LOC004,5257.68
TRIP0240,2024-03-29,VEH005,LOC010,LOC008,34030.0
TRIP0301,29/03/2024,VEH001,LOC005,LOC001,9709.33
TRIP0307,01/19/2024,VEH011,LOC004,LOC008,27384.71
TRIP0178,2024-02-11,VEH006,LOC004,LOC008,36208.7
TRIP0041,05/03/2024,VEH011,LOC002,LOC005,34143.74
TRIP0378,04/03/2024,VEH007,LOC002,LOC006,18416.19
TRIP0206,02/01/2024,VEH002,LOC009,LOC004,9613.78
TRIP0254,04/15/2024,VEH003,LOC005,LOC001,13283.18
TRIP0334,17/02/2024,VEH008,LOC002,LOC004,9623.6
TRIP0004,12-Jan-2024,VEH009,LOC004,LOC010,8296.21
TRIP0256,2024-01-24,VEH011,LOC010,LOC007,33579.91
TRIP0361,04/04/2024,VEH002,LOC007,LOC009,9190.68
TRIP0100,04/23/2024,VEH003,LOC002,LOC009,36800.32
TRIP0226,02-Mar-2024,VEH003 ,LOC008,LOC006,5870.08
TRIP0374,11-Apr-2024,veh012,LOC002,LOC009,10516.41
TRIP0213,03/08/2024,veh012,LOC006,LOC007,33144.36
TRIP0171,2024-01-29,VEH008,LOC005,LOC007,23027.0
TRIP0098,14-Apr-2024,VEH011,LOC009,LOC005,9130.21
TRIP0215,02/28/2024,VEH005,LOC005,LOC010,30864.44
TRIP0061,2024-04-02,VEH004,LOC010,LOC008,21488.37
TRIP0047,2024-01-11,VEH002,LOC002,LOC008,15091.48
TRIP0032,01/12/2024,VEH003,LOC001,LOC002,16403.89
TRIP0267,01/27/2024,VEH003,LOC005,LOC009,10376.47
TRIP0200,04/19/2024,VEH005,LOC004,LOC002,32209.17
TRIP0389,14/02/2024,VEH002,LOC009,LOC006,34768.68
TRIP0027,03/04/2024,VEH003,LOC007,LOC008,6533.13
TRIP0353,16/04/2024,VEH010,LOC009,LOC004,25035.07
TRIP0230,20/01/2024,VEH002,LOC010,LOC005,9911.89
TRIP0260,22/02/2024,VEH011,LOC008,LOC005,10116.06
TRIP0288,03/25/2024,VEH001,LOC003,LOC008,23331.35
TRIP0162,01/18/2024,VEH007,LOC003,LOC004,13057.49
TRIP0342,05/04/2024,VEH010,LOC009,LOC007,33030.95
TRIP0138,04/05/2024,VEH007,LOC003,LOC005,32395.73
TRIP0062,2024-04-10,VEH004,LOC008,LOC007,24783.26
TRIP0135,2024-02-09,VEH007,LOC007,LOC006,5798.14
TRIP0128,02/25/2024,VEH007,LOC006,LOC010,8619.1
TRIP0008,04/07/2024,VEH006,LOC003,LOC007,9483.98
TRIP0064,24-Feb-2024,VEH012,LOC007,LOC008,27215.14
TRIP0300,03/31/2024,VEH003,LOC002,LOC008,32264.87
TRIP0014,07/02/2024,VEH010,LOC010,LOC006,20519.5
TRIP0156,04/14/2024,VEH009,LOC009,LOC007,14843.18
TRIP0040,2024-04-22,VEH003,LOC005,LOC009,20300.32
TRIP0370,2024-01-19, VEH005,LOC002,LOC003,31688.63
TRIP0326,05/03/2024,VEH005,LOC005,LOC003,33153.71
TRIP0216,2024-01-30,VEH006,LOC002,LOC004,9587.02
TRIP0279,08/04/2024,VEH009 ,LOC007,LOC006,34789.61
TRIP0386,03/17/2024,VEH002,LOC005,LOC006,30121.61
TRIP0236,04/04/2024,VEH011,LOC002,LOC004,21358.36
TRIP0207,01/31/2024,VEH009,LOC007,LOC008,28718.05
TRIP0212,15-Mar-2024,VEH009 ,LOC006,LOC008,11992.15
TRIP0295,19-Apr-2024,VEH006,LOC009,LOC007,36592.86
TRIP0368,2024-01-14,VEH002,LOC008,LOC010,16677.32
TRIP0251,06-Jan-2024,VEH010,LOC007,LOC006,35362.17
TRIP0394,01-Jan-2024,VEH010,LOC003,LOC010,5430.59
TRIP0369,2024-04-25,VEH010,LOC002,LOC006,36442.83
TRIP0303,02/17/2024,VEH004,LOC007,LOC003,22997.8
TRIP0269,2024-03-03,VEH011,LOC002,LOC001,5740.18
TRIP0201,22-Apr-2024,veh008,LOC008,LOC004,39013.92
TRIP0161,2024-02-12,VEH002,LOC006,LOC009,37060.41
TRIP0043,17/02/2024,veh009,LOC003,LOC009,15932.83
TRIP0217,16-Jan-2024,VEH004 ,LOC009,LOC003,9331.38
TRIP0190,26/01/2024,VEH002,LOC002,LOC004,37788.46
TRIP0309,01/02/2024,VEH011,LOC008,LOC005,9891.89
TRIP0259,2024-03-26,VEH006,LOC002,LOC003,25805.18
TRIP0105,01-Jan-2024,VEH011,LOC006,LOC003,30091.16
TRIP0053,25-Apr-2024,VEH002,LOC009,LOC008,28269.78
TRIP0001,2024-02-05,VEH003 ,LOC004,LOC010,20360.75
TRIP0049,03/25/2024,veh003,LOC008,LOC009,9891.34
TRIP0080,10-Feb-2024,VEH010,LOC001,LOC010,28250.97
TRIP0205,02/13/2024,VEH009 ,LOC005,LOC010,13037.96
TRIP0034,2024-01-09,VEH010,LOC007,LOC010,21434.45
TRIP0263,2024-01-15,VEH001,LOC007,LOC009,10035.52
TRIP0091,10/02/2024,VEH008,LOC002,LOC001,29371.21
TRIP0339,2024-01-05,VEH002,LOC005,LOC008,37757.89
TRIP0052,2024-02-09,VEH008 ,LOC007,LOC006,32542.35
TRIP0345,05-Jan-2024,VEH008,LOC006,LOC004,32829.02
TRIP0264,25-Mar-2024,VEH007,LOC009,LOC008,37233.97
TRIP0241,2024-01-05, VEH012,LOC004,LOC005,32888.6
TRIP0013,2024-04-28,VEH009,LOC007,LOC002,33796.66
TRIP0315,2024-02-07,VEH011,LOC005,LOC001,16462.34
TRIP0088,04/29/2024,VEH011,LOC005,LOC004,10644.51
TRIP0273,01/16/2024,VEH012,LOC003,LOC008,25690.03
TRIP0166,04/16/2024,VEH010,LOC007,LOC010,34042.64
TRIP0328,21/04/2024,VEH008,LOC006,LOC002,27152.12
TRIP0397,08/03/2024,VEH007,LOC004,LOC007,15337.57
TRIP0134,10/02/2024,VEH009,LOC002,LOC005,25682.04
TRIP0306,28-Mar-2024, VEH010,LOC004,LOC008,18478.13
TRIP0387,14/03/2024,VEH003,LOC009,LOC004,38291.81
TRIP0319,22-Mar-2024,VEH011,LOC004,LOC005,38210.03
TRIP0243,01/30/2024,veh007,LOC005,LOC004,23576.94
TRIP0054,02/01/2024,VEH006,LOC004,LOC002,29680.79
TRIP0363,09/04/2024,VEH010,LOC006,LOC009,8069.82
TRIP0050,03/02/2024,VEH004,LOC009,LOC007,11996.79
TRIP0174,27-Apr-2024,VEH001,LOC003,LOC009,10761.27
TRIP0189,2024-03-14,VEH012,LOC007,LOC010,14186.12
TRIP0080,10/02/2024,VEH010,LOC001,LOC010,28250.97
TRIP0187,18-Mar-2024,VEH003,LOC010,LOC002,8306.33
TRIP0169,04/19/2024,VEH012,LOC007,LOC009,38351.48
TRIP0058,25-Apr-2024,VEH002,LOC001,LOC006,9892.89
TRIP0048,2024-04-07,VEH003,LOC009,LOC003,28887.34
TRIP0344,01/13/2024,VEH005 ,LOC008,LOC007,32391.84
TRIP0235,13/03/2024,VEH010,LOC010,LOC001,33152.63
TRIP0252,02/02/2024,VEH004,LOC001,LOC002,20886.39
TRIP0021,03/04/2024,VEH008,LOC004,LOC003,17408.41
TRIP0313,26/01/2024,VEH002,LOC007,LOC008,17862.91
TRIP0160,10-Jan-2024,VEH005,LOC005,LOC004,8770.93
TRIP0276,28/02/2024,VEH007,LOC009,LOC003,16129.69
TRIP0191,30/03/2024,VEH010,LOC005,LOC002,13433.97
TRIP0293,03/01/2024,VEH010,LOC005,LOC006,8468.96
TRIP0343,05/04/2024,VEH011,LOC003,LOC007,25778.87
TRIP0257,2024-04-14,VEH008,LOC008,LOC002,8684.73
TRIP0308,02/02/2024,VEH011,LOC008,LOC005,14326.22
TRIP0149,30-Mar-2024,veh007,LOC007,LOC008,5756.42
TRIP0130,25-Apr-2024,VEH005,LOC010,LOC004,10970.75
TRIP0151,09/04/2024,VEH003,LOC007,LOC004,36365.63
TRIP0359,2024-02-15, VEH001,LOC004,LOC006,25985.77
TRIP0099,14-Jan-2024,VEH002,LOC003,LOC005,38666.42
TRIP0372,2024-02-11,VEH005,LOC007,LOC009,17746.72
TRIP0087,2024-03-25,VEH006,LOC010,LOC009,21165.7
TRIP0330,04/02/2024,veh006,LOC007,LOC009,30721.26
TRIP0214,03/11/2024,VEH012,LOC006,LOC010,30039.25
TRIP0121,15-Apr-2024,VEH001,LOC004,LOC010,27744.63
TRIP0316,20/02/2024,VEH010,LOC005,LOC001,18281.24
TRIP0020,29/04/2024,VEH009,LOC002,LOC003,31533.07
TRIP0188,09-Feb-2024,VEH005,LOC002,LOC001,31137.64
TRIP0071,03/24/2024,VEH002 ,LOC009,LOC001,19298.5
TRIP0106,03/02/2024,VEH009,LOC003,LOC008,20727.65
TRIP0270,03/18/2024,VEH005,LOC004,LOC003,6938.84
TRIP0348,15-Feb-2024,VEH005,LOC001,LOC007,25652.66
