txn_id,txn_date,txn_type,customer_id,customer_segment,origin_id,destination_id,vendor_id,line_item,quantity,uom,revenue,direct_cost,cost_category,invoice_id,payment_date
TXN0003979,03/06/2024,sale,CUST0012,smb,LOC010,LOC006,VEND011,freight_charge,10.53,trips,88.72,69.6,fuel,INV0001326,2024-04-19
TXN0015292,17-Sep-2024,sale,CUST0010,mid_market,LOC005,LOC011,VEND011,bulk_transport,15.99,tonnes,501.51,313.19,tolls,INV0005097,
TXN0003725,14/03/2024,sale,CUST0038,,LOC012,LOC011,VEND002,storage_fee,9.78,,243.25,112.19,packaging,INV0001241,10/04/2024
TXN0012552,06/21/2024,sale,CUST0036,smb,LOC010,LOC004,VEND004,freight_charge,12.24,trips,209.53,142.82,labor,INV0004184,18/07/2024
TXN0007666,10/08/2024,sale,CUST0032,enterprise,LOC007,LOC002,,storage_fee,10.58,,399.14,216.16,tolls,INV0002555,10/28/2024
TXN0012417,08-Jan-2025,sale,CUST0004,,LOC009,LOC004,VEND010,storage_fee,8.89,,62.8,26.71,fuel,INV0004139,06/04/2025
TXN0019884,17-Apr-2024,sale,CUST0003,smb,LOC005,LOC003,,storage_fee,12.45,,79.98,56.4,tolls,INV0006628,06/06/2024
TXN0014104,27/07/2024,sale,CUST0004,enterprise,LOC008,LOC010,VEND011,fuel_surcharge,6.95,trips,187.57,77.24,tolls,INV0004701,22-Aug-2024
TXN0018121,2024-08-08,sale,CUST0033,enterprise,LOC010,LOC001,,storage_fee,11.46,,136.17,80.96,labor,INV0006040,08/26/2024
TXN0000936,03/08/2025,sale,CUST0016,,LOC002,LOC009,,fuel_surcharge,13.21,trips,358.11,244.15,maintenance,INV0000312,2025-03-15
TXN0018250,06-Sep-2024,sale,CUST0035,enterprise,LOC010,LOC004,VEND010,bulk_transport,13.69,tonnes,300.28,126.08,fuel,INV0006083,20/10/2024
TXN0003050,28-Mar-2025,sale,CUST0024 ,mid_market,LOC008,LOC009,,documentation_fee,6.54,,193.82,137.29,labor,INV0001016,2025-06-20
TXN0019623,2024-07-09,sale,CUST0008,smb,LOC011,LOC002,,storage_fee,10.8,,380.58,165.64,fuel,INV0006541,11-Sep-2024
TXN0009167,04/16/2025,sale,CUST0002,enterprise,LOC010,LOC001,VEND004,documentation_fee,10.56,,516.61,381.16,maintenance,INV0003055,2025-04-28
TXN0005460,28/12/2024,sale,CUST0007,,LOC012,LOC002,,freight_charge,15.62,trips,161.16,107.62,packaging,INV0001820,12/29/2024
TXN0018568,08/05/2024,sale,CUST0028,smb,LOC010,LOC004,,documentation_fee,11.18,,60.72,34.53,tolls,INV0006189,09-Aug-2024
TXN0018078,12/08/2024,sale,CUST0011,mid_market,LOC009,LOC004,,bulk_transport,7.55,tonnes,361.77,232.63,fuel,INV0006026,19/09/2024
TXN0014590,12-Jan-2024,sale,CUST0026,smb,LOC011,LOC002,,tanker_transport,10.86,litres,431.61,336.93,packaging,INV0004863,05-Feb-2024
TXN0015557,02/11/2025,sale,CUST0003,mid_market,LOC005,LOC004,,documentation_fee,6.26,,58.44,31.79,packaging,INV0005185,31-Mar-2025
TXN0014952,14-Mar-2025,sale,CUST0028,smb,LOC001,LOC011,,tanker_transport,10.33,litres,442.07,341.01,packaging,INV0004984,19/05/2025
TXN0011015,11/08/2024,sale,CUST0014,smb,LOC005,LOC004,,storage_fee,9.87,,389.83,284.22,tolls,INV0003671,08/11/2024
TXN0013959,03/15/2025,sale,CUST0036,mid_market,LOC011,LOC012,VEND008,bulk_transport,13.29,tonnes,382.89,267.51,packaging,INV0004653,03/20/2025
TXN0007348,04/18/2025,sale,cust0025,smb,LOC008,LOC009,,fuel_surcharge,6.74,trips,326.64,243.9,tolls,INV0002449,2025-06-10
TXN0009623,07/03/2024,sale,CUST0017,enterprise,LOC009,LOC004,,documentation_fee,10.11,,59.68,43.7,packaging,INV0003207,2024-04-26
TXN0011058,2024-01-02,credit_note,CUST0016,mid_market,LOC009,LOC004,VEND005,documentation_fee,15.27,,322.52,138.55,tolls,INV0003686,02/02/2024
TXN0018029,27-May-2024,sale,CUST0028,smb,LOC003,LOC012,,documentation_fee,12.02,,0.0,0.0,fuel,INV0006009,06/19/2024
TXN0002008,2024-11-24,sale,CUST0015,enterprise,LOC005,LOC003,,documentation_fee,12.63,,107.17,65.55,tolls,INV0000669,2025-01-03
TXN0015279,2025-04-16,sale,CUST0038,mid_market,LOC002,LOC004,VEND001,tanker_transport,7.62,litres,232.14,138.44,packaging,INV0005093,18-Jun-2025
TXN0002848,2025-08-20,sale,CUST0019,enterprise,LOC005,LOC011,VEND005,storage_fee,9.9,,117.6,87.36,labor,INV0000949,30/10/2025
TXN0017358,05-Jun-2025,sale,CUST0001 ,,LOC012,LOC002,VEND006,tanker_transport,19.99,litres,862.46,628.05,maintenance,INV0005786,08/26/2025
TXN0017040,14/03/2024,sale,CUST0021,mid_market,LOC003,LOC012,,bulk_transport,10.19,tonnes,123.07,58.83,labor,INV0005680,2024-06-07
TXN0009614,12-Apr-2025,sale,CUST0026,,LOC008,LOC009,VEND012,bulk_transport,6.97,tonnes,112.82,64.02,labor,INV0003204,04/26/2025
TXN0017049,03-May-2024,sale,CUST0008,enterprise,LOC001,LOC011,,bulk_transport,13.87,tonnes,195.64,138.85,labor,INV0005683,2024-07-31
TXN0014096,2025-04-23,sale,CUST0014,smb,LOC011,LOC002,VEND001,freight_charge,16.53,trips,715.94,567.92,labor,INV0004698,22-Jun-2025
TXN0007854,07/27/2025,sale,CUST0039,mid_market,LOC010,LOC001,VEND004,handling_fee,10.97,,330.1,228.25,labor,INV0002618,08/27/2025
TXN0007528,2025-07-03,sale,CUST0016,smb,LOC004,LOC006,VEND001,tanker_transport,12.53,litres,309.84,243.25,packaging,INV0002509,07/20/2025
TXN0004345,23/11/2024,sale,CUST0006,mid_market,LOC010,LOC006,VEND015,handling_fee,3.39,cartons,136.83,59.73,maintenance,INV0001448,
TXN0006281,24-Sep-2024,sale,CUST0039,,LOC011,LOC002,VEND005,tanker_transport,6.19,litres,292.42,141.48,packaging,INV0002093,30/09/2024
TXN0015295,19/11/2024,sale,CUST0017,enterprise,LOC011,LOC012,VEND004,fuel_surcharge,13.56,trips,205.89,136.54,labor,INV0005098,2025-01-07
TXN0009409,02/01/2024,sale,CUST0019,mid_market,LOC012,LOC002,,handling_fee,12.85,cartons,458.2,334.14,packaging,INV0003136,22/02/2024
TXN0008850,02/28/2025,sale,cust0014,mid_market,LOC009,LOC004,,storage_fee,12.03,,439.88,213.82,maintenance,INV0002950,2025-04-26
TXN0010448,11/10/2024,sale,CUST0038,mid_market,LOC002,LOC004,,handling_fee,9.22,cartons,422.81,317.26,tolls,INV0003482,11/15/2024
TXN0003393,20-Jun-2025,credit_note,CUST0008,mid_market,LOC011,LOC002,VEND015,bulk_transport,4.96,tonnes,164.32,112.47,packaging,INV0001131,
TXN0003795,20/02/2024,sale,CUST0038,mid_market,LOC007,LOC006,,storage_fee,12.72,,171.44,76.08,labor,INV0001265,2024-03-08
TXN0011863,01/03/2024,sale,CUST0016,smb,LOC004,LOC006,,freight_charge,8.12,trips,326.37,208.38,maintenance,INV0003954,01/14/2024
TXN0000695,06/01/2025,sale,CUST0038,mid_market,LOC009,LOC004,VEND011,documentation_fee,16.32,,126.62,80.83,maintenance,INV0000231,01/16/2025
TXN0009403,01-May-2025,sale,CUST0013,mid_market,LOC011,LOC012,,documentation_fee,8.52,,128.59,78.48,labor,INV0003134,07/09/2025
TXN0010690,01/12/2025,sale,CUST0023,mid_market,LOC004,LOC003,VEND007,freight_charge,14.01,trips,576.56,325.05,maintenance,INV0003563,03-Mar-2025
TXN0001114,02/02/2025,sale,CUST0039,mid_market,LOC002,LOC007,,bulk_transport,9.78,tonnes,279.92,207.19,tolls,INV0000371,2025-05-02
TXN0003912,06/02/2025,sale,CUST0040,enterprise,LOC007,LOC006,,bulk_transport,11.07,tonnes,481.21,283.56,maintenance,INV0001304,2025-04-11
TXN0009740,08-Apr-2024,sale,CUST0017,,LOC010,LOC004,,fuel_surcharge,6.18,trips,55.44,29.67,labor,INV0003246,2024-04-25
TXN0019755,05/14/2024,sale,CUST0004,enterprise,LOC005,LOC011,,handling_fee,10.08,cartons,408.4,296.39,labor,INV0006585,
TXN0009659,27-Jan-2024,sale,CUST0002,smb,LOC010,LOC007,,storage_fee,12.84,,107.6,82.8,packaging,INV0003219,04-Mar-2024
TXN0013806,28-Oct-2024,sale,CUST0030,enterprise,LOC007,LOC004,,handling_fee,8.72,cartons,295.53,158.17,fuel,INV0004602,30-Nov-2024
TXN0000474,2024-04-15,sale,CUST0006,enterprise,LOC008,LOC010,,fuel_surcharge,16.95,trips,697.05,527.82,packaging,INV0000158,04/15/2024
TXN0016065,2024-04-21,sale,cust0011,smb,LOC010,LOC001,VEND012,freight_charge,14.04,trips,526.74,375.1,tolls,INV0005355,05/13/2024
TXN0006224,17/03/2025,sale,CUST0020,smb,LOC005,LOC011,VEND007,storage_fee,11.46,,61.48,24.74,maintenance,INV0002074,06/09/2025
TXN0009674,05/15/2024,sale,CUST0016,smb,LOC002,LOC007,,bulk_transport,15.57,tonnes,507.96,314.8,tolls,INV0003224,23/05/2024
TXN0017730,17-Feb-2024,sale,CUST0010,,LOC012,LOC009,VEND003,fuel_surcharge,10.53,trips,270.02,214.02,labor,INV0005910,2024-03-19
TXN0015750,18-Aug-2025,sale,cust0010,enterprise,LOC004,LOC003,VEND003,freight_charge,10.63,trips,497.25,210.86,labor,INV0005250,21/08/2025
TXN0004201,2024-01-02,sale,CUST0035,mid_market,LOC003,LOC012,,documentation_fee,10.47,,124.58,94.46,fuel,INV0001400,11-Jan-2024
TXN0001453,2025-03-03,sale,CUST0033,,LOC001,LOC011,VEND014,tanker_transport,5.47,litres,33.18,16.61,labor,INV0000484,06/03/2025
TXN0016704,19/12/2024,sale,CUST0023,,LOC012,LOC009,VEND003,documentation_fee,5.02,,34.26,14.88,maintenance,INV0005568,09-Mar-2025
TXN0015259,10/06/2024,sale,CUST0023,,LOC004,LOC006,,handling_fee,3.1,cartons,91.06,40.07,labor,INV0005086,2024-08-16
TXN0002571,01/11/2024,sale,CUST0021,enterprise,LOC005,LOC011,,storage_fee,7.78,,106.57,71.6,labor,INV0000857,2024-11-07
TXN0009693,27-May-2025,sale,CUST0007,smb,LOC004,LOC006,VEND005,fuel_surcharge,9.04,trips,79.46,56.81,labor,INV0003231,06/16/2025
TXN0000218,08/02/2024,sale,cust0008,enterprise,LOC010,LOC007,,freight_charge,21.42,trips,667.12,376.03,fuel,INV0000072,25/09/2024
TXN0019440,2025-02-03,sale,CUST0039,,LOC008,LOC009,,handling_fee,15.75,cartons,423.52,294.51,labor,INV0006480,05/01/2025
TXN0006775,27-Jan-2025,sale,CUST0033,smb,LOC008,LOC010,,bulk_transport,5.39,tonnes,32.07,24.7,maintenance,INV0002258,03/02/2025
TXN0011726,07-Jul-2024,sale,CUST0010 ,smb,LOC003,LOC012,VEND008,freight_charge,10.71,trips,264.68,166.89,maintenance,INV0003908,2024-09-05
TXN0007596,2024-08-09,sale,CUST0033,,LOC011,LOC012,,fuel_surcharge,4.26,trips,95.91,72.38,packaging,INV0002532,10/31/2024
TXN0003686,2024-06-09,sale,CUST0011,enterprise,LOC007,LOC004,,handling_fee,13.89,cartons,242.08,179.57,labor,INV0001228,2024-08-03
TXN0016000,19/06/2025,sale,CUST0016,enterprise,LOC001,LOC011,,fuel_surcharge,4.41,trips,178.54,139.71,labor,INV0005333,25-Aug-2025
TXN0015704,02/04/2025,sale,CUST0003,smb,LOC005,LOC001,,tanker_transport,8.55,litres,47.97,35.0,maintenance,INV0005234,05-Apr-2025
TXN0003184,2024-10-12,sale,CUST0009,smb,LOC005,LOC001,,fuel_surcharge,7.74,trips,262.52,173.99,tolls,INV0001061,26/12/2024
TXN0012807,15/01/2025,sale,CUST0005,smb,LOC003,LOC012,VEND012,handling_fee,8.07,cartons,376.4,,,INV0004269,02/07/2025
TXN0001905,24/08/2025,sale, CUST0021,smb,LOC010,LOC004,,storage_fee,3.65,,181.99,121.55,tolls,INV0000635,03/10/2025
TXN0015092,28-Jan-2024,sale,CUST0030,,LOC007,LOC006,,documentation_fee,8.65,,345.41,163.9,tolls,INV0005030,2024-04-03
TXN0011491,05/12/2024,sale,CUST0009,smb,LOC004,LOC009,VEND011,bulk_transport,10.32,tonnes,469.05,353.78,tolls,INV0003830,
TXN0018536,2025-02-26,sale,CUST0035,enterprise,LOC005,LOC011,,tanker_transport,13.11,litres,182.7,102.24,maintenance,INV0006178,03/15/2025
TXN0017398,2025-04-16,sale,CUST0032 ,mid_market,LOC010,LOC007,VEND013,tanker_transport,10.6,litres,373.06,222.23,fuel,INV0005799,2025-05-04
TXN0016960,11-Jan-2025,sale,CUST0031,smb,LOC008,LOC010,,bulk_transport,9.29,tonnes,423.84,,,INV0005653,03/02/2025
TXN0013901,28-Apr-2025,sale,CUST0005,,LOC008,LOC010,VEND007,freight_charge,10.03,trips,469.94,249.68,fuel,INV0004633,07/01/2025
TXN0002117,16/01/2025,sale,CUST0027,smb,LOC011,LOC002,VEND011,documentation_fee,11.7,,162.16,125.34,maintenance,INV0000705,23-Mar-2025
TXN0001968,04/22/2025,sale,CUST0020,,LOC012,LOC002,,handling_fee,13.06,,431.35,,,INV0000656,11-May-2025
TXN0015611,03/13/2025,sale,CUST0023,enterprise,LOC012,LOC011,,handling_fee,12.58,cartons,256.6,104.67,maintenance,INV0005203,05/10/2025
TXN0015631,2025-07-03,sale,CUST0028,smb,LOC005,LOC001,VEND009,tanker_transport,11.3,litres,353.82,259.33,fuel,INV0005210,24/09/2025
TXN0004417,18-Jan-2025,sale,CUST0007,enterprise,LOC004,LOC009,,documentation_fee,5.47,,37.38,26.34,maintenance,INV0001472,11/03/2025
TXN0014127,12/04/2025,sale,CUST0038,mid_market,LOC010,LOC004,,storage_fee,13.55,,284.83,142.18,labor,INV0004709,07/01/2025
TXN0004519,01/04/2025,sale,CUST0013,,LOC004,LOC006,,handling_fee,13.37,cartons,103.9,42.84,labor,INV0001506,01/18/2025
TXN0003105,09/09/2024,sale,CUST0039,,LOC002,LOC007,,freight_charge,6.69,trips,185.99,137.97,labor,INV0001035,09-Nov-2024
TXN0008618,2024-05-09,sale,CUST0031,smb,LOC002,LOC004,,tanker_transport,7.9,litres,198.69,80.26,tolls,INV0002872,02-Jul-2024
TXN0012672,01-Jan-2024,sale,CUST0030,,LOC011,LOC012,,handling_fee,10.2,cartons,149.1,110.31,labor,INV0004224,03/29/2024
TXN0007200,10-Nov-2024,sale,CUST0036,,LOC001,LOC012,VEND011,fuel_surcharge,5.15,trips,243.64,160.21,fuel,INV0002400,2024-11-24
TXN0015176,22-Mar-2024,sale,CUST0005,mid_market,LOC010,LOC007,,fuel_surcharge,12.9,trips,388.24,256.55,packaging,INV0005058,2024-05-28
TXN0001747,2024-01-15,sale,CUST0019,enterprise,LOC005,LOC003,VEND013,bulk_transport,11.34,tonnes,547.59,429.82,labor,INV0000582,2024-02-18
TXN0019859,2024-12-02,sale,CUST0027,,LOC007,LOC002,,handling_fee,16.3,cartons,208.65,151.15,maintenance,INV0006619,
TXN0004590,24/11/2024,sale,CUST0027 ,smb,LOC007,LOC002,,freight_charge,8.03,trips,158.82,107.73,maintenance,INV0001530,2024-12-02
TXN0015172,2025-04-03,sale,CUST0011,smb,LOC005,LOC003,,documentation_fee,10.82,,141.28,79.59,tolls,INV0005057,09-Jun-2025
TXN0002346,2025-05-07,cancelled,CUST0018,enterprise,LOC010,LOC004,,freight_charge,10.78,trips,442.48,295.11,tolls,INV0000782,23/06/2025
TXN0014684,12/26/2024,sale,CUST0008,smb,LOC008,LOC009,,bulk_transport,11.08,tonnes,124.8,87.02,tolls,INV0004894,15-Mar-2025
TXN0001535,21-Jun-2025,sale,CUST0026,,LOC010,LOC007,VEND014,tanker_transport,7.46,litres,309.68,205.7,fuel,INV0000511,07/08/2025
TXN0019302,07/08/2025,sale,CUST0022,smb,LOC012,LOC009,,storage_fee,6.09,,101.63,49.61,tolls,INV0006434,26-Aug-2025
TXN0017001,25-Feb-2024,credit_note,CUST0033,mid_market,LOC010,LOC007,,handling_fee,8.49,cartons,273.59,,,INV0005667,20-May-2024
TXN0004279,22/06/2024,sale,cust0025,enterprise,LOC001,LOC012,VEND010,tanker_transport,10.99,litres,460.32,242.71,tolls,INV0001426,29/06/2024
TXN0006279,04-Apr-2025,credit_note,CUST0005,enterprise,LOC009,LOC002,,freight_charge,12.46,trips,-295.03,-136.35,labor,INV0002093,2025-06-09
TXN0015281,11/13/2024,sale,CUST0031,mid_market,LOC005,LOC011,,handling_fee,4.37,cartons,155.5,120.59,tolls,INV0005093,01/02/2025
TXN0008182,2025-04-16,sale,CUST0036,,LOC005,LOC011,,storage_fee,9.33,,340.3,170.89,packaging,INV0002727,02/05/2025
TXN0002199,05/08/2024,sale,CUST0001,enterprise,LOC012,LOC002,VEND012,bulk_transport,5.97,tonnes,133.93,99.28,labor,INV0000733,30/06/2024
TXN0013793,08/06/2024,sale,CUST0034,,LOC002,LOC007,,handling_fee,10.5,cartons,194.26,150.77,tolls,INV0004597,12/09/2024
TXN0014421,2025-04-09,sale,CUST0023,,LOC005,LOC004,VEND008,freight_charge,11.24,trips,192.54,81.63,packaging,INV0004807,05/26/2025
TXN0015603,2025-07-11,sale,CUST0030,enterprise,LOC011,LOC012,VEND002,bulk_transport,6.0,tonnes,0.0,0.0,maintenance,INV0005201,
TXN0001084,05/25/2025,sale,CUST0014,smb,LOC012,LOC011,VEND001,fuel_surcharge,7.55,trips,134.24,60.08,tolls,INV0000361,2025-07-10
TXN0014412,2024-01-24,sale,CUST0019,smb,LOC010,LOC006,VEND003,freight_charge,14.99,trips,588.26,350.85,tolls,INV0004804,2024-03-03
TXN0007267,15-Jan-2025,sale,CUST0005,enterprise,LOC012,LOC009,,fuel_surcharge,10.17,trips,88.97,,,INV0002422,2025-01-26
TXN0012222,2024-02-15,sale,CUST0034,mid_market,LOC009,LOC004,,bulk_transport,11.38,tonnes,435.15,319.05,packaging,INV0004074,27-Apr-2024
TXN0011547,2024-03-28,sale,cust0018,mid_market,LOC010,LOC007,,freight_charge,16.41,trips,111.97,49.45,fuel,INV0003849,05-Jun-2024
TXN0017000,24/06/2024,sale,CUST0014,enterprise,LOC005,LOC001,,fuel_surcharge,6.86,trips,105.0,56.0,maintenance,INV0005666,05/09/2024
TXN0003860,08/20/2025,sale,CUST0029,enterprise,LOC008,LOC010,,handling_fee,12.49,cartons,603.43,256.03,packaging,INV0001286,2025-11-09
TXN0000322,06-Jul-2025,sale,cust0034,,LOC012,LOC011,VEND014,storage_fee,9.1,,84.25,39.3,fuel,INV0000107,2025-09-09
TXN0015655,15/02/2024,credit_note,CUST0011,mid_market,LOC012,LOC011,VEND013,tanker_transport,13.06,litres,374.09,200.79,maintenance,INV0005218,2024-05-07
TXN0018327,24/04/2025,sale,CUST0011 ,mid_market,LOC008,LOC010,,tanker_transport,10.26,litres,154.39,,,INV0006109,
TXN0009068,2024-01-26,sale,CUST0017,mid_market,LOC005,LOC003,,fuel_surcharge,9.38,trips,333.42,262.24,maintenance,INV0003022,2024-03-09
TXN0007811,07/03/2025,sale,CUST0034,enterprise,LOC002,LOC007,VEND012,fuel_surcharge,7.82,trips,302.56,231.92,packaging,INV0002603,24-Apr-2025
TXN0011693,2024-03-28,sale,CUST0024 ,smb,LOC009,LOC002,,fuel_surcharge,13.83,trips,310.73,219.37,maintenance,INV0003897,15/05/2024
TXN0001729,26-Jun-2024,sale,CUST0004,mid_market,LOC008,LOC010,,bulk_transport,17.68,tonnes,539.79,382.95,tolls,INV0000576,28-Jul-2024
TXN0017135,09-Jan-2025,sale,CUST0028,mid_market,LOC008,LOC010,,documentation_fee,8.24,,344.98,184.16,maintenance,INV0005711,2025-02-22
TXN0019714,09-Feb-2025,sale,CUST0032,,LOC005,LOC001,VEND008,freight_charge,12.3,trips,156.66,93.19,labor,INV0006571,05/05/2025
TXN0004980,07/15/2025,credit_note,CUST0028,enterprise,LOC002,LOC009,,freight_charge,10.81,trips,532.84,388.33,packaging,INV0001660,07/18/2025
TXN0018421,13-Aug-2025,sale,CUST0033,smb,LOC010,LOC004,,bulk_transport,8.35,tonnes,307.26,220.69,labor,INV0006140,2025-08-29
TXN0002232,03/12/2024,sale,CUST0038,,LOC005,LOC001,VEND007,documentation_fee,0.1,,2.43,,,INV0000744,2025-02-16
TXN0017219,12-Jul-2025,sale,cust0013,smb,LOC007,LOC006,,handling_fee,11.82,cartons,120.36,95.47,tolls,INV0005739,07/26/2025
TXN0001730,07-Feb-2025,sale,CUST0034,,LOC007,LOC002,,handling_fee,17.38,cartons,830.85,518.86,packaging,INV0000576,02/09/2025
TXN0008623,03-May-2025,sale,CUST0011 ,mid_market,LOC001,LOC011,,fuel_surcharge,10.52,trips,461.44,190.33,maintenance,INV0002874,2025-07-30
TXN0018585,25-Aug-2024,sale,CUST0029,,LOC012,LOC002,,bulk_transport,11.02,tonnes,332.66,218.91,tolls,INV0006195,09/11/2024
TXN0009272,11/10/2024,sale,CUST0020,mid_market,LOC005,LOC003,,freight_charge,7.55,,81.12,53.84,maintenance,INV0003090,18/12/2024
TXN0018784,03-Apr-2025,sale,CUST0019,mid_market,LOC005,LOC004,VEND003,tanker_transport,13.3,litres,79.12,58.4,packaging,INV0006261,2025-06-21
TXN0004580,09/01/2024,sale,CUST0026,smb,LOC011,LOC012,,documentation_fee,3.91,,178.95,138.16,packaging,INV0001526,16-Mar-2024
TXN0009572,08-Apr-2025,sale,CUST0037,,LOC008,LOC009,,handling_fee,8.63,cartons,322.9,,,INV0003190,09/04/2025
