txn_date,product_code,product_group,units_sold,line_revenue,line_cost
2025-10-18,KIT-JEWELRY-01,Jewelry Kits,1,599,180.96
2025-10-19,KIT-SOAP-01,Soap Kits,1,649,225.34
2025-10-19,KIT-POTTERY-02,Pottery Kits,2,4198,1964.49
2025-10-19,KIT-JEWELRY-01,Jewelry Kits,1,599,198.82
2025-10-20,KIT-CANDLE-02,Candle Kits,1,1199,408.3
2025-10-20,KIT-JEWELRY-01,Jewelry Kits,2,1198,347.41
2025-10-20,KIT-RESIN-01,Resin Art Kits,1,1499,635.04
2025-10-20,KIT-RESIN-01,Resin Art Kits,1,1499,590.31
2025-10-21,KIT-JEWELRY-01,Jewelry Kits,1,599,170.34
2025-10-23,KIT-RESIN-01,Resin Art Kits,1,1499,631.02
2025-10-24,KIT-MACRAME-01,Macrame Kits,1,749,222.7
2025-10-24,KIT-MACRAME-02,Macrame Kits,1,999,330.8
2025-10-25,KIT-MACRAME-01,Macrame Kits,1,749,252.54
2025-10-26,KIT-JEWELRY-02,Jewelry Kits,1,849,270.66
2025-10-26,KIT-CANDLE-02,Candle Kits,2,2398,772.83
2025-10-26,KIT-RESIN-01,Resin Art Kits,2,2998,1309.21
2025-10-27,KIT-MACRAME-01,Macrame Kits,1,749,249.34
2025-10-27,KIT-JEWELRY-02,Jewelry Kits,1,849,271.05
2025-10-27,KIT-CANDLE-01,Candle Kits,1,899,336.8
2025-10-27,KIT-CANDLE-02,Candle Kits,1,1199,430.57
2025-10-27,KIT-CANDLE-01,Candle Kits,1,899,301.61
2025-10-28,KIT-POTTERY-01,Pottery Kits,2,3398,1544.38
2025-10-28,KIT-MACRAME-01,Macrame Kits,1,749,239.41
2025-10-28,KIT-CANDLE-02,Candle Kits,1,1199,407.5
2025-10-28,KIT-SOAP-01,Soap Kits,1,649,203.26
2025-10-29,KIT-SOAP-01,Soap Kits,2,1298,455.38
2025-10-29,KIT-CANDLE-02,Candle Kits,1,1199,391.91
2025-10-29,KIT-MACRAME-02,Macrame Kits,1,999,295.96
2025-10-29,KIT-SOAP-01,Soap Kits,1,649,233.82
2025-10-29,KIT-CANDLE-01,Candle Kits,1,899,353.79
2025-10-29,KIT-POTTERY-01,Pottery Kits,2,3398,1326.29
2025-10-30,KIT-CANDLE-02,Candle Kits,1,1199,431.09
2025-10-30,KIT-MACRAME-01,Macrame Kits,1,749,229.63
2025-10-30,KIT-JEWELRY-02,Jewelry Kits,1,849,266.3
2025-10-30,KIT-MACRAME-01,Macrame Kits,1,749,241.94
2025-10-30,KIT-CANDLE-02,Candle Kits,1,1199,423.7
2025-10-31,KIT-SOAP-02,Soap Kits,1,799,241.84
2025-10-31,KIT-SOAP-02,Soap Kits,2,1598,543.76
2025-10-31,KIT-CANDLE-02,Candle Kits,1,1199,418.57
2025-11-01,KIT-SOAP-02,Soap Kits,1,799,259.04
2025-11-02,KIT-RESIN-01,Resin Art Kits,2,2998,1372.41
2025-11-02,KIT-CANDLE-01,Candle Kits,1,899,335.65
2025-11-03,KIT-RESIN-02,Resin Art Kits,2,3798,4368.72
2025-11-03,KIT-CANDLE-01,Candle Kits,1,899,347.25
2025-11-04,KIT-JEWELRY-01,Jewelry Kits,1,599,176.63
2025-11-04,KIT-POTTERY-01,Pottery Kits,1,1699,756.99
2025-11-05,KIT-MACRAME-02,Macrame Kits,1,999,301.19
2025-11-05,KIT-MACRAME-01,Macrame Kits,1,749,265.76
2025-11-06,KIT-RESIN-01,Resin Art Kits,1,1499,703.56
2025-11-06,KIT-CANDLE-01,Candle Kits,3,2697,1063.99
2025-11-06,KIT-RESIN-01,Resin Art Kits,1,1499,674.54
2025-11-06,KIT-RESIN-01,Resin Art Kits,1,1499,698.94
2025-11-06,KIT-JEWELRY-01,Jewelry Kits,1,599,191.19
2025-11-07,KIT-RESIN-01,Resin Art Kits,2,2998,1187.98
2025-11-07,KIT-POTTERY-01,Pottery Kits,1,1699,745.9
2025-11-08,KIT-CANDLE-02,Candle Kits,1,1199,379.91
2025-11-09,KIT-MACRAME-01,Macrame Kits,1,749,239.79
2025-11-09,KIT-RESIN-01,Resin Art Kits,1,1499,598.18
2025-11-09,KIT-CANDLE-01,Candle Kits,1,899,356.19
2025-11-10,KIT-SOAP-02,Soap Kits,1,799,290.96
2025-11-11,KIT-SOAP-01,Soap Kits,1,649,233.01
2025-11-11,KIT-JEWELRY-01,Jewelry Kits,1,599,197.44
2025-11-12,KIT-POTTERY-01,Pottery Kits,2,3398,1326.17
2025-11-12,KIT-CANDLE-01,Candle Kits,2,1798,658.22
2025-11-12,KIT-CANDLE-01,Candle Kits,1,899,340.46
2025-11-12,KIT-CANDLE-02,Candle Kits,2,2398,878.66
2025-11-13,KIT-MACRAME-02,Macrame Kits,1,999,309.5
2025-11-13,KIT-SOAP-01,Soap Kits,1,649,216.37
2025-11-13,KIT-CANDLE-01,Candle Kits,1,899,354.06
2025-11-13,KIT-SOAP-02,Soap Kits,1,799,258.98
2025-11-14,KIT-POTTERY-01,Pottery Kits,1,1699,674.41
2025-11-15,KIT-SOAP-02,Soap Kits,2,1598,564.47
2025-11-15,KIT-MACRAME-02,Macrame Kits,1,999,319.85
2025-11-16,KIT-SOAP-02,Soap Kits,3,2397,787.39
2025-11-16,KIT-POTTERY-02,Pottery Kits,1,2099,1034.5
2025-11-17,KIT-CANDLE-01,Candle Kits,1,899,334.79
2025-11-17,KIT-POTTERY-02,Pottery Kits,1,2099,911.62
2025-11-17,KIT-RESIN-01,Resin Art Kits,1,1499,693.62
2025-11-18,KIT-JEWELRY-01,Jewelry Kits,1,599,181.95
2025-11-18,KIT-SOAP-01,Soap Kits,1,649,225.25
2025-11-19,KIT-POTTERY-02,Pottery Kits,2,4198,1991.67
2025-11-20,KIT-JEWELRY-01,Jewelry Kits,2,1198,359.58
2025-11-21,KIT-CANDLE-02,Candle Kits,1,1199,401.22
2025-11-21,KIT-RESIN-01,Resin Art Kits,2,2998,1273.18
2025-11-21,KIT-CANDLE-01,Candle Kits,1,899,301.87
2025-11-22,KIT-MACRAME-02,Macrame Kits,1,999,294.1
2025-11-22,KIT-POTTERY-02,Pottery Kits,2,4198,1895.22
2025-11-22,KIT-SOAP-02,Soap Kits,2,1598,538.67
2025-11-23,KIT-CANDLE-01,Candle Kits,2,1798,641.16
2025-11-23,KIT-RESIN-02,Resin Art Kits,1,1899,2075.79
2025-11-23,KIT-POTTERY-01,Pottery Kits,1,1699,648.81
2025-11-24,KIT-MACRAME-02,Macrame Kits,3,2997,997.05
2025-11-24,KIT-CANDLE-02,Candle Kits,2,2398,905.19
2025-11-24,KIT-CANDLE-02,Candle Kits,1,1199,419.53
2025-11-24,KIT-RESIN-02,Resin Art Kits,1,1899,2011.67
2025-11-24,KIT-MACRAME-02,Macrame Kits,1,999,279.85
2025-11-25,KIT-MACRAME-02,Macrame Kits,1,999,302.01
2025-11-25,KIT-CANDLE-02,Candle Kits,2,2398,837.46
2025-11-25,KIT-RESIN-01,Resin Art Kits,2,2998,1245.76
2025-11-26,KIT-POTTERY-02,Pottery Kits,1,2099,956.61
2025-11-26,KIT-CANDLE-01,Candle Kits,1,899,299.6
2025-11-26,KIT-POTTERY-02,Pottery Kits,2,4198,2070.88
2025-11-27,KIT-RESIN-01,Resin Art Kits,2,2998,1264.14
2025-11-28,KIT-CANDLE-01,Candle Kits,2,1798,607.74
2025-11-28,KIT-POTTERY-01,Pottery Kits,1,1699,710.28
2025-11-29,KIT-SOAP-02,Soap Kits,1,799,282.62
2025-11-30,KIT-MACRAME-02,Macrame Kits,2,1998,662.47
2025-11-30,KIT-SOAP-01,Soap Kits,1,649,203.14
2025-11-30,KIT-CANDLE-02,Candle Kits,1,1199,413.79
2025-12-01,KIT-CANDLE-01,Candle Kits,1,899,299.64
2025-12-01,KIT-JEWELRY-02,Jewelry Kits,1,849,247.78
2025-12-02,KIT-CANDLE-02,Candle Kits,1,1199,408.08
2025-12-02,KIT-CANDLE-02,Candle Kits,1,1199,440.2
2025-12-02,KIT-POTTERY-02,Pottery Kits,1,2099,926.11
2025-12-03,KIT-SOAP-02,Soap Kits,1,799,251.96
2025-12-03,KIT-RESIN-01,Resin Art Kits,2,2998,1194.64
2025-12-05,KIT-RESIN-02,Resin Art Kits,2,3798,4280.6
2025-12-06,KIT-RESIN-01,Resin Art Kits,1,1499,647.45
2025-12-06,KIT-MACRAME-01,Macrame Kits,1,749,250.52
2025-12-06,KIT-POTTERY-01,Pottery Kits,1,1699,720.29
2025-12-07,KIT-JEWELRY-01,Jewelry Kits,1,599,176.95
2025-12-07,KIT-POTTERY-01,Pottery Kits,1,1699,696.96
2025-12-08,KIT-POTTERY-01,Pottery Kits,1,1699,739.61
2025-12-08,KIT-CANDLE-01,Candle Kits,1,899,303.09
2025-12-08,KIT-SOAP-02,Soap Kits,2,1598,552.19
2025-12-08,KIT-SOAP-01,Soap Kits,1,649,196.03
2025-12-09,KIT-RESIN-01,Resin Art Kits,1,1499,660.37
2025-12-09,KIT-CANDLE-01,Candle Kits,1,899,324.45
2025-12-09,KIT-CANDLE-01,Candle Kits,1,899,311.75
2025-12-10,KIT-SOAP-02,Soap Kits,2,1598,508.87
2025-12-10,KIT-POTTERY-01,Pottery Kits,1,1699,746.6
2025-12-10,KIT-MACRAME-01,Macrame Kits,1,749,245.98
2025-12-10,KIT-RESIN-01,Resin Art Kits,2,2998,1345.63
2025-12-11,KIT-RESIN-01,Resin Art Kits,2,2998,1195.56
2025-12-11,KIT-CANDLE-01,Candle Kits,1,899,329.61
2025-12-12,KIT-POTTERY-02,Pottery Kits,1,2099,932.04
2025-12-13,KIT-MACRAME-01,Macrame Kits,2,1498,474.61
2025-12-13,KIT-MACRAME-02,Macrame Kits,1,999,298.34
2025-12-15,KIT-MACRAME-02,Macrame Kits,2,1998,584.76
2025-12-15,KIT-MACRAME-01,Macrame Kits,1,749,266.98
2025-12-17,KIT-RESIN-02,Resin Art Kits,1,1899,2208.0
2025-12-17,KIT-JEWELRY-01,Jewelry Kits,1,599,172.53
2025-12-17,KIT-RESIN-01,Resin Art Kits,1,1499,679.24
2025-12-18,KIT-SOAP-01,Soap Kits,1,649,204.89
2025-12-18,KIT-CANDLE-01,Candle Kits,2,1798,615.01
2025-12-19,KIT-POTTERY-01,Pottery Kits,1,1699,769.09
2025-12-19,KIT-CANDLE-01,Candle Kits,1,899,338.81
2025-12-20,KIT-CANDLE-01,Candle Kits,1,899,312.53
2025-12-21,KIT-CANDLE-01,Candle Kits,2,1798,601.77
2025-12-22,KIT-SOAP-01,Soap Kits,1,649,217.95
2025-12-22,KIT-CANDLE-01,Candle Kits,2,1798,715.5
2025-12-23,KIT-MACRAME-02,Macrame Kits,1,999,299.25
2025-12-23,KIT-MACRAME-02,Macrame Kits,1,999,304.16
2025-12-24,KIT-CANDLE-02,Candle Kits,1,1199,392.29
2025-12-24,KIT-POTTERY-01,Pottery Kits,1,1699,671.74
2025-12-24,KIT-CANDLE-02,Candle Kits,1,1199,399.22
2025-12-24,KIT-CANDLE-02,Candle Kits,1,1199,417.32
2025-12-24,KIT-CANDLE-01,Candle Kits,1,899,306.19
2025-12-25,KIT-CANDLE-02,Candle Kits,1,1199,394.78
2025-12-25,KIT-MACRAME-01,Macrame Kits,1,749,240.84
2025-12-25,KIT-CANDLE-01,Candle Kits,2,1798,676.65
2025-12-26,KIT-SOAP-02,Soap Kits,2,1598,511.67
2025-12-27,KIT-RESIN-01,Resin Art Kits,1,1499,686.09
2025-12-28,KIT-RESIN-02,Resin Art Kits,2,3798,4204.13
2025-12-29,KIT-CANDLE-02,Candle Kits,1,1199,446.83
2025-12-29,KIT-MACRAME-01,Macrame Kits,1,749,252.64
2025-12-29,KIT-POTTERY-01,Pottery Kits,1,1699,732.05
2025-12-29,KIT-JEWELRY-01,Jewelry Kits,1,599,196.33
2025-12-29,KIT-MACRAME-01,Macrame Kits,1,749,253.36
2025-12-30,KIT-MACRAME-02,Macrame Kits,1,999,324.9
2025-12-30,KIT-MACRAME-01,Macrame Kits,2,1498,533.12
2025-12-30,KIT-MACRAME-01,Macrame Kits,2,1498,442.15
2025-12-30,KIT-SOAP-02,Soap Kits,2,1598,513.42
2026-01-01,KIT-SOAP-02,Soap Kits,1,799,254.58
2026-01-01,KIT-CANDLE-02,Candle Kits,1,1199,431.46
2026-01-02,KIT-JEWELRY-02,Jewelry Kits,1,849,284.24
2026-01-02,KIT-MACRAME-01,Macrame Kits,1,749,236.92
2026-01-02,KIT-CANDLE-01,Candle Kits,1,899,315.73
2026-01-03,KIT-MACRAME-02,Macrame Kits,1,999,313.07
2026-01-03,KIT-MACRAME-02,Macrame Kits,2,1998,646.39
2026-01-04,KIT-CANDLE-02,Candle Kits,1,1199,429.12
2026-01-04,KIT-CANDLE-01,Candle Kits,1,899,352.18
2026-01-05,KIT-MACRAME-01,Macrame Kits,2,1498,455.61
2026-01-05,KIT-CANDLE-01,Candle Kits,1,899,302.73
2026-01-05,KIT-MACRAME-02,Macrame Kits,1,999,330.35
2026-01-06,KIT-RESIN-01,Resin Art Kits,1,1499,684.22
2026-01-06,KIT-SOAP-01,Soap Kits,1,649,226.63
2026-01-07,KIT-CANDLE-01,Candle Kits,1,899,322.25
2026-01-08,KIT-CANDLE-01,Candle Kits,1,899,355.34
2026-01-08,KIT-SOAP-01,Soap Kits,2,1298,459.59
2026-01-08,KIT-JEWELRY-02,Jewelry Kits,1,849,270.68
2026-01-10,KIT-CANDLE-01,Candle Kits,2,1798,605.32
2026-01-10,KIT-MACRAME-02,Macrame Kits,2,1998,628.32
2026-01-10,KIT-CANDLE-01,Candle Kits,1,899,331.39
2026-01-11,KIT-POTTERY-01,Pottery Kits,1,1699,757.15
2026-01-11,KIT-CANDLE-01,Candle Kits,2,1798,667.09
2026-01-12,KIT-SOAP-02,Soap Kits,2,1598,491.4
2026-01-12,KIT-SOAP-01,Soap Kits,1,649,216.3
2026-01-12,KIT-CANDLE-01,Candle Kits,2,1798,689.06
2026-01-12,KIT-MACRAME-01,Macrame Kits,1,749,225.91
2026-01-12,KIT-SOAP-02,Soap Kits,1,799,239.62
2026-01-13,KIT-JEWELRY-01,Jewelry Kits,3,1797,525.53
2026-01-13,KIT-POTTERY-01,Pottery Kits,1,1699,698.06
2026-01-13,KIT-RESIN-01,Resin Art Kits,1,1499,624.75
2026-01-13,KIT-CANDLE-01,Candle Kits,1,899,331.47
2026-01-14,KIT-SOAP-02,Soap Kits,1,799,242.37
2026-01-14,KIT-CANDLE-02,Candle Kits,1,1199,410.55
2026-01-14,KIT-MACRAME-02,Macrame Kits,1,999,302.27
2026-01-15,KIT-POTTERY-01,Pottery Kits,1,1699,756.33
2026-01-15,KIT-MACRAME-02,Macrame Kits,1,999,335.83
2026-01-16,KIT-RESIN-01,Resin Art Kits,1,1499,625.22
2026-01-16,KIT-SOAP-02,Soap Kits,1,799,276.25
2026-01-16,KIT-CANDLE-02,Candle Kits,1,1199,421.4
2026-01-16,KIT-SOAP-02,Soap Kits,2,1598,517.18
2026-01-16,KIT-MACRAME-01,Macrame Kits,1,749,266.88
2026-01-18,KIT-POTTERY-01,Pottery Kits,1,1699,741.79
2026-01-19,KIT-CANDLE-01,Candle Kits,1,899,299.52
2026-01-19,KIT-SOAP-01,Soap Kits,2,1298,446.88
2026-01-19,KIT-POTTERY-01,Pottery Kits,1,1699,716.63
2026-01-19,KIT-CANDLE-01,Candle Kits,1,899,342.73
2026-01-21,KIT-CANDLE-02,Candle Kits,1,1199,399.99
2026-01-21,KIT-CANDLE-02,Candle Kits,2,2398,858.69
2026-01-22,KIT-SOAP-02,Soap Kits,1,799,283.47
2026-01-22,KIT-SOAP-01,Soap Kits,2,1298,413.55
2026-01-23,KIT-JEWELRY-02,Jewelry Kits,1,849,249.62
2026-01-23,KIT-CANDLE-01,Candle Kits,1,899,328.96
2026-01-24,KIT-JEWELRY-01,Jewelry Kits,2,1198,353.56
2026-01-25,KIT-JEWELRY-02,Jewelry Kits,2,1698,532.6
2026-01-26,KIT-CANDLE-01,Candle Kits,1,899,354.43
2026-01-27,KIT-CANDLE-02,Candle Kits,1,1199,425.57
2026-01-27,KIT-MACRAME-02,Macrame Kits,1,999,334.36
2026-01-28,KIT-MACRAME-01,Macrame Kits,1,749,230.88
2026-01-28,KIT-SOAP-02,Soap Kits,1,799,290.27
2026-01-28,KIT-SOAP-01,Soap Kits,2,1298,428.74
2026-01-28,KIT-RESIN-01,Resin Art Kits,2,2998,1258.69
2026-01-28,KIT-CANDLE-01,Candle Kits,1,899,296.19
2026-01-29,KIT-CANDLE-02,Candle Kits,1,1199,377.97
2026-01-29,KIT-CANDLE-01,Candle Kits,1,899,330.5
2026-01-29,KIT-RESIN-01,Resin Art Kits,1,1499,698.83
2026-01-30,KIT-JEWELRY-01,Jewelry Kits,1,599,179.09
2026-01-30,KIT-CANDLE-01,Candle Kits,1,899,347.78
2026-01-31,KIT-CANDLE-01,Candle Kits,1,899,326.66
2026-01-31,KIT-CANDLE-01,Candle Kits,1,899,336.66
2026-02-02,KIT-JEWELRY-02,Jewelry Kits,1,849,282.38
2026-02-03,KIT-RESIN-01,Resin Art Kits,1,1499,602.71
2026-02-03,KIT-CANDLE-01,Candle Kits,1,899,321.81
2026-02-04,KIT-SOAP-01,Soap Kits,2,1298,437.59
2026-02-04,KIT-RESIN-01,Resin Art Kits,1,1499,612.54
2026-02-04,KIT-RESIN-01,Resin Art Kits,1,1499,596.35
2026-02-06,KIT-SOAP-01,Soap Kits,1,649,219.57
2026-02-06,KIT-POTTERY-01,Pottery Kits,1,1699,715.68
2026-02-06,KIT-CANDLE-01,Candle Kits,1,899,341.2
2026-02-06,KIT-SOAP-01,Soap Kits,1,649,195.48
2026-02-06,KIT-JEWELRY-01,Jewelry Kits,1,599,175.85
2026-02-08,KIT-CANDLE-02,Candle Kits,1,1199,412.4
2026-02-08,KIT-RESIN-01,Resin Art Kits,1,1499,597.24
2026-02-08,KIT-CANDLE-01,Candle Kits,1,899,355.98
2026-02-09,KIT-POTTERY-01,Pottery Kits,1,1699,725.49
2026-02-09,KIT-SOAP-02,Soap Kits,1,799,274.18
2026-02-09,KIT-POTTERY-01,Pottery Kits,2,3398,1445.39
2026-02-09,KIT-RESIN-01,Resin Art Kits,2,2998,1330.72
2026-02-10,KIT-CANDLE-01,Candle Kits,1,899,355.89
2026-02-11,KIT-MACRAME-01,Macrame Kits,2,1498,474.06
2026-02-11,KIT-CANDLE-01,Candle Kits,1,899,323.15
2026-02-11,KIT-JEWELRY-01,Jewelry Kits,1,599,172.82
2026-02-12,KIT-CANDLE-01,Candle Kits,1,899,331.68
2026-02-12,KIT-CANDLE-01,Candle Kits,1,899,295.37
2026-02-12,KIT-CANDLE-02,Candle Kits,1,1199,400.94
2026-02-14,KIT-JEWELRY-01,Jewelry Kits,1,599,190.63
2026-02-14,KIT-RESIN-01,Resin Art Kits,1,1499,641.0
2026-02-14,KIT-JEWELRY-01,Jewelry Kits,1,599,178.63
2026-02-15,KIT-SOAP-01,Soap Kits,1,649,219.37
2026-02-15,KIT-RESIN-01,Resin Art Kits,1,1499,604.91
2026-02-16,KIT-MACRAME-01,Macrame Kits,2,1498,457.06
2026-02-16,KIT-SOAP-01,Soap Kits,1,649,218.49
2026-02-18,KIT-POTTERY-02,Pottery Kits,1,2099,971.07
2026-02-19,KIT-JEWELRY-02,Jewelry Kits,2,1698,496.91
2026-02-19,KIT-CANDLE-01,Candle Kits,2,1798,604.78
2026-02-19,KIT-POTTERY-01,Pottery Kits,1,1699,769.27
2026-02-20,KIT-SOAP-02,Soap Kits,1,799,252.01
2026-02-21,KIT-CANDLE-01,Candle Kits,2,1798,626.42
2026-02-22,KIT-CANDLE-01,Candle Kits,1,899,313.41
2026-02-22,KIT-CANDLE-02,Candle Kits,3,3597,1308.7
2026-02-22,KIT-POTTERY-01,Pottery Kits,1,1699,656.2
2026-02-22,KIT-MACRAME-01,Macrame Kits,1,749,245.58
2026-02-23,KIT-RESIN-01,Resin Art Kits,1,1499,715.45
2026-02-23,KIT-JEWELRY-02,Jewelry Kits,1,849,284.39
2026-02-23,KIT-JEWELRY-02,Jewelry Kits,2,1698,509.91
2026-02-24,KIT-MACRAME-01,Macrame Kits,3,2247,728.61
2026-02-25,KIT-RESIN-01,Resin Art Kits,2,2998,1301.84
2026-02-25,KIT-JEWELRY-01,Jewelry Kits,2,1198,393.79
2026-02-25,KIT-CANDLE-01,Candle Kits,1,899,311.41
2026-02-25,KIT-CANDLE-01,Candle Kits,1,899,357.81
2026-02-25,KIT-SOAP-02,Soap Kits,1,799,275.92
2026-02-25,KIT-SOAP-02,Soap Kits,1,799,248.34
2026-02-26,KIT-POTTERY-01,Pottery Kits,1,1699,697.07
2026-02-26,KIT-CANDLE-01,Candle Kits,1,899,303.0
2026-02-26,KIT-MACRAME-02,Macrame Kits,1,999,329.67
2026-02-26,KIT-POTTERY-02,Pottery Kits,2,4198,1964.48
2026-02-26,KIT-SOAP-02,Soap Kits,2,1598,481.52
2026-02-26,KIT-CANDLE-01,Candle Kits,2,1798,606.96
2026-02-27,KIT-CANDLE-02,Candle Kits,1,1199,384.28
2026-02-27,KIT-JEWELRY-02,Jewelry Kits,1,849,243.04
2026-03-01,KIT-RESIN-01,Resin Art Kits,1,1499,675.62
2026-03-03,KIT-CANDLE-01,Candle Kits,2,1798,674.01
2026-03-03,KIT-CANDLE-02,Candle Kits,2,2398,888.43
2026-03-03,KIT-MACRAME-01,Macrame Kits,2,1498,526.82
2026-03-03,KIT-RESIN-01,Resin Art Kits,2,2998,1279.71
2026-03-04,KIT-JEWELRY-01,Jewelry Kits,2,1198,344.67
2026-03-04,KIT-CANDLE-01,Candle Kits,1,899,336.47
2026-03-05,KIT-MACRAME-01,Macrame Kits,2,1498,502.57
2026-03-05,KIT-JEWELRY-02,Jewelry Kits,1,849,244.01
2026-03-05,KIT-CANDLE-02,Candle Kits,1,1199,458.25
2026-03-06,KIT-MACRAME-01,Macrame Kits,1,749,242.26
2026-03-07,KIT-SOAP-02,Soap Kits,3,2397,798.99
2026-03-08,KIT-POTTERY-01,Pottery Kits,1,1699,719.94
2026-03-08,KIT-JEWELRY-01,Jewelry Kits,1,599,183.41
2026-03-08,KIT-SOAP-02,Soap Kits,1,799,282.72
2026-03-08,KIT-RESIN-01,Resin Art Kits,1,1499,683.05
2026-03-09,KIT-SOAP-01,Soap Kits,1,649,213.71
2026-03-09,KIT-POTTERY-01,Pottery Kits,1,1699,738.23
2026-03-10,KIT-RESIN-01,Resin Art Kits,1,1499,607.8
2026-03-10,KIT-CANDLE-01,Candle Kits,1,899,322.79
2026-03-10,KIT-SOAP-01,Soap Kits,1,649,232.67
2026-03-10,KIT-RESIN-01,Resin Art Kits,1,1499,630.64
2026-03-10,KIT-CANDLE-01,Candle Kits,1,899,299.77
2026-03-11,KIT-JEWELRY-01,Jewelry Kits,1,599,165.92
2026-03-11,KIT-SOAP-02,Soap Kits,2,1598,484.6
2026-03-12,KIT-JEWELRY-01,Jewelry Kits,1,599,191.99
2026-03-12,KIT-SOAP-01,Soap Kits,2,1298,397.66
2026-03-12,KIT-CANDLE-01,Candle Kits,1,899,322.09
2026-03-12,KIT-POTTERY-02,Pottery Kits,1,2099,1003.25
2026-03-12,KIT-CANDLE-01,Candle Kits,1,899,312.02
2026-03-12,KIT-CANDLE-01,Candle Kits,2,1798,678.04
2026-03-12,KIT-MACRAME-01,Macrame Kits,1,749,221.64
2026-03-13,KIT-RESIN-01,Resin Art Kits,1,1499,635.6
2026-03-14,KIT-JEWELRY-02,Jewelry Kits,1,849,248.36
2026-03-16,KIT-SOAP-02,Soap Kits,1,799,265.5
2026-03-16,KIT-SOAP-02,Soap Kits,2,1598,487.34
2026-03-16,KIT-MACRAME-02,Macrame Kits,3,2997,970.33
2026-03-16,KIT-CANDLE-02,Candle Kits,1,1199,453.22
2026-03-17,KIT-MACRAME-02,Macrame Kits,2,1998,632.69
2026-03-17,KIT-JEWELRY-01,Jewelry Kits,1,599,180.36
2026-03-18,KIT-JEWELRY-01,Jewelry Kits,1,599,201.58
2026-03-18,KIT-POTTERY-01,Pottery Kits,1,1699,708.79
2026-03-18,KIT-RESIN-01,Resin Art Kits,1,1499,638.18
2026-03-20,KIT-SOAP-01,Soap Kits,1,649,211.83
2026-03-20,KIT-CANDLE-02,Candle Kits,1,1199,415.26
2026-03-20,KIT-SOAP-02,Soap Kits,1,799,257.16
2026-03-21,KIT-RESIN-01,Resin Art Kits,1,1499,640.37
2026-03-21,KIT-JEWELRY-02,Jewelry Kits,1,849,276.38
2026-03-21,KIT-CANDLE-01,Candle Kits,1,899,326.39
2026-03-21,KIT-POTTERY-02,Pottery Kits,1,2099,1015.9
2026-03-22,KIT-RESIN-01,Resin Art Kits,1,1499,614.54
2026-03-22,KIT-POTTERY-01,Pottery Kits,2,3398,1511.33
2026-03-22,KIT-MACRAME-01,Macrame Kits,2,1498,512.69
2026-03-23,KIT-MACRAME-01,Macrame Kits,1,749,232.16
2026-03-24,KIT-MACRAME-01,Macrame Kits,2,1498,534.28
2026-03-24,KIT-SOAP-01,Soap Kits,2,1298,469.76
2026-03-24,KIT-MACRAME-02,Macrame Kits,2,1998,668.13
2026-03-25,KIT-SOAP-02,Soap Kits,1,799,271.15
