order_date,sku,quantity,revenue,cost
2024-05-02,APPAREL-TSHIRT-01,1,799,311.16
2024-05-09,APPAREL-JACKET-03,1,2999,1355.49
2024-05-24,APPAREL-SCARF-04,1,499,227.29
2024-05-26,APPAREL-SCARF-04,1,499,244.43
2024-05-22,APPAREL-SCARF-04,1,499,196.21
2024-05-15,APPAREL-SCARF-04,2,998,438.42
2024-05-21,APPAREL-TSHIRT-01,3,2397,1130.15
2024-05-11,APPAREL-TSHIRT-01,1,799,348.66
2024-06-18,APPAREL-TSHIRT-01,1,799,325.05
2024-06-09,APPAREL-SCARF-04,1,499,219.09
2024-06-03,APPAREL-SCARF-04,1,499,250.71
2024-06-21,APPAREL-SCARF-04,3,1497,589.38
2024-06-08,APPAREL-TSHIRT-01,1,799,407.24
2024-06-07,APPAREL-DRESS-02,2,3798,1701.47
2024-06-01,APPAREL-SCARF-04,1,499,201.12
2024-06-26,APPAREL-SCARF-04,2,998,508.69
2024-06-24,APPAREL-SCARF-04,2,998,438.34
2024-06-07,APPAREL-SCARF-04,1,499,202.89
2024-06-02,APPAREL-TSHIRT-01,3,2397,1157.76
2024-06-16,APPAREL-JACKET-03,1,2999,1160.67
2024-06-03,APPAREL-DRESS-02,1,1899,977.05
2024-06-22,APPAREL-DRESS-02,1,1899,879.82
2024-07-19,APPAREL-DRESS-02,2,3798,1506.99
2024-07-20,APPAREL-DRESS-02,3,5697,2639.04
2024-07-19,APPAREL-TSHIRT-01,2,1598,754.31
2024-07-23,APPAREL-JACKET-03,2,5998,2450.76
2024-07-05,APPAREL-JACKET-03,1,2999,1251.14
2024-07-25,APPAREL-JACKET-03,2,5998,2544.74
2024-07-19,APPAREL-TSHIRT-01,1,799,354.88
2024-07-17,APPAREL-TSHIRT-01,1,799,363.76
2024-07-03,APPAREL-JACKET-03,1,2999,1531.46
2024-07-15,APPAREL-DRESS-02,2,3798,1594.77
2024-07-26,APPAREL-JACKET-03,3,8997,4658.1
2024-07-10,APPAREL-TSHIRT-01,3,2397,1185.06
2024-07-04,APPAREL-TSHIRT-01,1,799,333.2
2024-07-07,APPAREL-DRESS-02,2,3798,1593.06
2024-08-09,APPAREL-JACKET-03,1,2999,1428.27
2024-08-02,APPAREL-SCARF-04,2,998,505.73
2024-08-09,APPAREL-TSHIRT-01,3,2397,1053.0
2024-08-05,APPAREL-TSHIRT-01,1,799,340.93
2024-08-18,APPAREL-JACKET-03,1,2999,1450.83
2024-08-03,APPAREL-SCARF-04,3,1497,570.89
2024-08-12,APPAREL-DRESS-02,3,5697,2193.6
2024-08-10,APPAREL-DRESS-02,2,3798,1511.01
2024-08-07,APPAREL-JACKET-03,1,2999,1517.04
2024-08-25,APPAREL-DRESS-02,3,5697,2246.85
2024-08-08,APPAREL-SCARF-04,3,1497,725.94
2024-08-01,APPAREL-DRESS-02,1,1899,955.95
2024-08-26,APPAREL-DRESS-02,3,5697,2902.21
2024-09-23,APPAREL-DRESS-02,2,3798,1527.89
2024-09-16,APPAREL-TSHIRT-01,2,1598,802.36
2024-09-15,APPAREL-DRESS-02,1,1899,938.72
2024-09-08,APPAREL-JACKET-03,2,5998,2968.26
2024-09-13,APPAREL-DRESS-02,1,1899,897.1
2024-09-25,APPAREL-JACKET-03,2,5998,3005.05
2024-09-13,APPAREL-JACKET-03,2,5998,2817.91
2024-09-09,APPAREL-JACKET-03,1,2999,1188.05
2024-09-09,APPAREL-DRESS-02,3,5697,2932.56
2024-09-12,APPAREL-TSHIRT-01,1,799,370.35
2024-09-17,APPAREL-JACKET-03,2,5998,2788.29
2024-10-02,APPAREL-SCARF-04,3,1497,608.7
2024-10-26,APPAREL-SCARF-04,1,499,225.94
2024-10-22,APPAREL-DRESS-02,2,3798,1672.57
2024-10-04,APPAREL-JACKET-03,3,8997,3814.26
2024-10-14,APPAREL-JACKET-03,3,8997,3808.43
2024-10-18,APPAREL-JACKET-03,2,5998,2864.7
2024-10-13,APPAREL-DRESS-02,1,1899,833.4
2024-10-13,APPAREL-DRESS-02,3,5697,2618.77
2024-11-14,APPAREL-TSHIRT-01,2,1598,671.43
2024-11-22,APPAREL-JACKET-03,2,5998,2650.22
2024-11-26,APPAREL-DRESS-02,3,5697,2542.26
2024-11-17,APPAREL-DRESS-02,3,5697,2232.49
2024-11-25,APPAREL-JACKET-03,1,2999,1483.24
2024-11-26,APPAREL-DRESS-02,3,5697,2412.44
2024-11-08,APPAREL-DRESS-02,1,1899,728.11
2024-11-03,APPAREL-SCARF-04,3,1497,746.95
2024-11-19,APPAREL-SCARF-04,2,998,503.05
2024-11-16,APPAREL-DRESS-02,3,5697,2720.26
2024-11-23,APPAREL-SCARF-04,1,499,199.93
2024-11-08,APPAREL-TSHIRT-01,1,799,390.69
2024-12-04,APPAREL-SCARF-04,1,499,228.56
2024-12-22,APPAREL-SCARF-04,1,499,245.61
2024-12-24,APPAREL-JACKET-03,2,5998,2793.7
2024-12-06,APPAREL-SCARF-04,3,1497,662.31
2024-12-08,APPAREL-SCARF-04,2,998,415.45
2024-12-08,APPAREL-JACKET-03,3,8997,4029.25
2024-12-10,APPAREL-JACKET-03,2,5998,2344.3
2024-12-18,APPAREL-DRESS-02,2,3798,1621.82
2024-12-13,APPAREL-TSHIRT-01,1,799,320.49
2025-01-14,APPAREL-DRESS-02,3,5697,2335.5
2025-01-14,APPAREL-SCARF-04,2,998,455.05
2025-01-13,APPAREL-TSHIRT-01,1,799,396.79
2025-01-01,APPAREL-TSHIRT-01,3,2397,1038.51
2025-01-27,APPAREL-JACKET-03,2,5998,2911.95
2025-01-18,APPAREL-SCARF-04,3,1497,725.52
2025-01-14,APPAREL-DRESS-02,2,3798,1559.91
2025-01-22,APPAREL-SCARF-04,1,499,216.79
2025-01-15,APPAREL-SCARF-04,3,1497,603.45
2025-01-13,APPAREL-DRESS-02,3,5697,2590.87
2025-01-05,APPAREL-TSHIRT-01,1,799,375.52
2025-01-13,APPAREL-SCARF-04,1,499,193.13
2025-01-11,APPAREL-JACKET-03,1,2999,1330.53
2025-02-27,APPAREL-SCARF-04,2,998,484.31
2025-02-16,APPAREL-SCARF-04,2,998,495.89
2025-02-12,APPAREL-TSHIRT-01,3,2397,1091.88
2025-02-21,APPAREL-DRESS-02,3,5697,2219.59
2025-02-07,APPAREL-TSHIRT-01,1,799,409.84
2025-02-05,APPAREL-TSHIRT-01,3,2397,962.0
2025-02-07,APPAREL-SCARF-04,3,1497,592.83
2025-02-12,APPAREL-SCARF-04,3,1497,622.56
2025-02-24,APPAREL-DRESS-02,3,5697,2649.19
2025-02-04,APPAREL-TSHIRT-01,1,799,411.53
2025-02-13,APPAREL-TSHIRT-01,2,1598,736.06
2025-02-19,APPAREL-SCARF-04,3,1497,610.43
2025-02-10,APPAREL-DRESS-02,1,1899,906.98
2025-02-12,APPAREL-TSHIRT-01,3,2397,1173.5
2025-03-17,APPAREL-SCARF-04,3,1497,646.52
2025-03-27,APPAREL-JACKET-03,1,2999,1496.32
2025-03-12,APPAREL-SCARF-04,1,499,219.91
2025-03-06,APPAREL-SCARF-04,3,1497,600.92
2025-03-18,APPAREL-JACKET-03,3,8997,4436.85
2025-03-24,APPAREL-SCARF-04,2,998,440.1
2025-03-27,APPAREL-JACKET-03,2,5998,2994.44
2025-03-08,APPAREL-TSHIRT-01,2,1598,804.48
2025-03-13,APPAREL-SCARF-04,3,1497,696.77
2025-03-11,APPAREL-JACKET-03,1,2999,1347.16
2025-03-26,APPAREL-DRESS-02,2,3798,1556.03
2025-03-20,APPAREL-JACKET-03,2,5998,2514.07
2025-04-07,APPAREL-JACKET-03,3,8997,3431.65
2025-04-16,APPAREL-TSHIRT-01,1,799,384.17
2025-04-23,APPAREL-DRESS-02,3,5697,2544.58
2025-04-03,APPAREL-SCARF-04,2,998,490.03
2025-04-08,APPAREL-JACKET-03,1,2999,1309.41
2025-04-16,APPAREL-JACKET-03,3,8997,4151.38
2025-04-18,APPAREL-JACKET-03,2,5998,3116.13
2025-04-09,APPAREL-JACKET-03,2,5998,2869.44
2025-04-24,APPAREL-JACKET-03,2,5998,2472.83
2025-04-18,APPAREL-DRESS-02,2,3798,1506.81
2025-04-16,APPAREL-DRESS-02,1,1899,779.15
2025-04-25,APPAREL-JACKET-03,3,8997,4161.49
2025-04-10,APPAREL-JACKET-03,1,2999,1489.21
2025-05-23,APPAREL-JACKET-03,1,2999,1266.53
2025-05-02,APPAREL-DRESS-02,2,3798,1467.44
2025-05-21,APPAREL-JACKET-03,3,8997,4608.02
2025-05-19,APPAREL-SCARF-04,1,499,250.59
2025-05-11,APPAREL-JACKET-03,2,5998,2681.23
2025-05-16,APPAREL-DRESS-02,1,1899,788.74
2025-05-03,APPAREL-TSHIRT-01,1,799,348.44
2025-05-19,APPAREL-TSHIRT-01,1,799,320.31
2025-05-04,APPAREL-JACKET-03,1,2999,1556.93
2025-06-20,APPAREL-SCARF-04,3,1497,693.8
2025-06-15,APPAREL-DRESS-02,3,5697,2468.24
2025-06-10,APPAREL-JACKET-03,3,8997,4665.88
2025-06-04,APPAREL-TSHIRT-01,3,2397,1233.05
2025-06-22,APPAREL-DRESS-02,3,5697,2333.17
2025-06-18,APPAREL-TSHIRT-01,1,799,330.45
2025-06-15,APPAREL-TSHIRT-01,1,799,303.92
2025-06-10,APPAREL-SCARF-04,2,998,383.8
2025-06-03,APPAREL-JACKET-03,3,8997,4501.6
2025-06-21,APPAREL-DRESS-02,2,3798,1862.14
2025-06-08,APPAREL-DRESS-02,2,3798,1504.27
2025-06-03,APPAREL-DRESS-02,2,3798,1882.78
