order_id,order_line_id,order_date,customer_id,sku_id,category,size,quantity,unit_price,unit_cogs,shipping_cost,payment_gateway_fee,marketing_channel,is_return,return_date
ORD-000012,ORD-000012-2,2025-07-01,CUST-00003,DRE-026,Dresses,L,1,1369.0,443.72,75.72,30.75,Affiliate,False,
ORD-000012,ORD-000012-3,2025-07-01,CUST-00003,TOP-002,Tops,M,1,1169.0,384.14,69.91,26.55,Affiliate,True,2025-07-19
ORD-000008,ORD-000008-1,2025-07-01,CUST-00008,TOP-008,Tops,XS,1,1469.0,600.37,55.4,32.85,Influencer,True,2025-07-10
ORD-000041,ORD-000041-1,2025-07-02,CUST-00036,FOO-004,Footwear,11,1,3009.0,1305.59,76.66,65.19,Google Ads,False,
ORD-000041,ORD-000041-2,2025-07-02,CUST-00036,BOT-010,Bottoms,XL,1,1869.0,652.35,69.66,41.25,Google Ads,True,2025-07-19
ORD-000042,ORD-000042-1,2025-07-02,CUST-00037,FOO-009,Footwear,10,1,2439.0,1066.57,73.89,53.22,Google Ads,False,
ORD-000042,ORD-000042-2,2025-07-02,CUST-00037,ACC-011,Accessories,One Size,1,1349.0,432.78,80.16,30.33,Google Ads,False,
ORD-000043,ORD-000043-1,2025-07-02,CUST-00038,OUT-011,Outerwear,S,1,3359.0,1390.12,61.67,72.54,Instagram Ads,False,
ORD-000043,ORD-000043-2,2025-07-02,CUST-00038,TOP-005,Tops,M,1,1299.0,475.11,71.53,29.28,Instagram Ads,True,2025-07-07
ORD-000043,ORD-000043-3,2025-07-02,CUST-00038,ACC-012,Accessories,One Size,1,319.0,85.4,73.99,8.7,Instagram Ads,False,
ORD-000046,ORD-000046-2,2025-07-02,CUST-00041,DRE-007,Dresses,L,1,2619.0,1037.34,47.65,57.0,Instagram Ads,False,
ORD-000045,ORD-000045-1,2025-07-02,CUST-00040,OUT-004,Outerwear,L,2,2849.0,1178.46,59.79,121.66,Instagram Ads,False,
ORD-000046,ORD-000046-1,2025-07-02,CUST-00041,ACC-004,Accessories,One Size,1,1409.0,459.78,76.09,31.59,Instagram Ads,True,2025-07-07
ORD-000047,ORD-000047-1,2025-07-02,CUST-00042,TOP-018,Tops,S,1,1129.0,441.41,78.71,25.71,Organic/Email,True,2025-07-13
ORD-000048,ORD-000048-1,2025-07-02,CUST-00043,BOT-021,Bottoms,S,1,1079.0,469.57,60.24,24.66,Google Ads,False,
ORD-000049,ORD-000049-1,2025-07-02,CUST-00044,FOO-008,Footwear,7,2,2659.0,1312.02,64.79,113.68,Google Ads,False,
ORD-000050,ORD-000050-1,2025-07-02,CUST-00045,DRE-014,Dresses,XS,1,2469.0,957.13,68.82,53.85,Google Ads,False,
ORD-000040,ORD-000040-1,2025-07-02,CUST-00035,OUT-012,Outerwear,XL,1,4069.0,1507.3,80.93,87.45,Organic/Email,False,
ORD-000044,ORD-000044-1,2025-07-02,CUST-00039,FOO-001,Footwear,10,1,2479.0,1138.61,85.61,54.06,Google Ads,False,
ORD-000039,ORD-000039-2,2025-07-02,CUST-00034,TOP-014,Tops,S,1,1309.0,512.86,66.64,29.49,Affiliate,False,
ORD-000032,ORD-000032-1,2025-07-02,CUST-00028,ACC-012,Accessories,One Size,2,319.0,85.4,76.78,15.4,Instagram Ads,False,
ORD-000038,ORD-000038-2,2025-07-02,CUST-00020,BOT-017,Bottoms,XL,1,859.0,371.44,77.55,20.04,Organic/Email,False,
ORD-000039,ORD-000039-1,2025-07-02,CUST-00034,TOP-028,Tops,S,2,499.0,195.35,88.52,22.96,Affiliate,False,
ORD-000029,ORD-000029-1,2025-07-02,CUST-00026,FOO-003,Footwear,6,1,2969.0,1313.47,71.05,64.35,Google Ads,False,
ORD-000030,ORD-000030-1,2025-07-02,CUST-00027,BOT-008,Bottoms,XL,1,1569.0,588.48,75.21,34.95,Influencer,True,2025-07-19
ORD-000030,ORD-000030-2,2025-07-02,CUST-00027,BOT-021,Bottoms,S,2,1079.0,469.57,56.67,47.32,Influencer,False,
ORD-000030,ORD-000030-3,2025-07-02,CUST-00027,ACC-006,Accessories,One Size,1,359.0,108.58,91.33,9.54,Influencer,False,
ORD-000031,ORD-000031-1,2025-07-02,CUST-00006,DRE-015,Dresses,XS,1,1969.0,665.28,75.72,43.35,Organic/Email,False,
ORD-000033,ORD-000033-1,2025-07-02,CUST-00029,ACC-012,Accessories,One Size,1,319.0,85.4,71.36,8.7,Google Ads,False,
ORD-000028,ORD-000028-1,2025-07-02,CUST-00012,FOO-003,Footwear,6,1,2969.0,1313.47,60.57,64.35,Organic/Email,True,2025-07-12
ORD-000033,ORD-000033-3,2025-07-02,CUST-00029,OUT-016,Outerwear,S,1,3579.0,1531.85,60.84,77.16,Google Ads,False,
ORD-000034,ORD-000034-1,2025-07-02,CUST-00030,OUT-018,Outerwear,XL,1,1829.0,753.95,55.3,40.41,Google Ads,True,2025-07-22
ORD-000035,ORD-000035-1,2025-07-02,CUST-00031,TOP-013,Tops,S,2,649.0,251.0,56.89,29.26,Instagram Ads,False,
ORD-000035,ORD-000035-2,2025-07-02,CUST-00031,BOT-026,Bottoms,L,1,839.0,348.62,74.56,19.62,Instagram Ads,False,
ORD-000036,ORD-000036-1,2025-07-02,CUST-00032,OUT-018,Outerwear,XL,1,1829.0,753.95,53.12,40.41,Influencer,False,
ORD-000037,ORD-000037-1,2025-07-02,CUST-00033,TOP-030,Tops,XS,1,1159.0,424.76,44.13,26.34,Instagram Ads,False,
ORD-000038,ORD-000038-1,2025-07-02,CUST-00020,BOT-015,Bottoms,S,2,859.0,350.97,64.38,38.08,Organic/Email,False,
ORD-000033,ORD-000033-2,2025-07-02,CUST-00029,BOT-016,Bottoms,XS,1,1689.0,696.69,58.08,37.47,Google Ads,True,2025-07-14
ORD-000065,ORD-000065-2,2025-07-03,CUST-00056,BOT-012,Bottoms,L,2,1409.0,516.76,78.02,61.18,Instagram Ads,False,
ORD-000066,ORD-000066-1,2025-07-03,CUST-00057,BOT-010,Bottoms,S,1,1869.0,652.35,56.08,41.25,Organic/Email,True,2025-07-15
ORD-000067,ORD-000067-1,2025-07-03,CUST-00058,TOP-004,Tops,XS,1,809.0,332.98,59.61,18.99,Influencer,True,2025-07-17
ORD-000068,ORD-000068-1,2025-07-03,CUST-00059,OUT-015,Outerwear,L,1,1979.0,882.83,49.57,43.56,Google Ads,False,
ORD-000068,ORD-000068-2,2025-07-03,CUST-00059,DRE-008,Dresses,S,1,3299.0,999.26,62.41,71.28,Google Ads,False,
ORD-000069,ORD-000069-1,2025-07-03,CUST-00060,DRE-007,Dresses,S,1,2619.0,1037.34,83.61,57.0,Influencer,True,2025-07-07
ORD-000070,ORD-000070-1,2025-07-03,CUST-00061,TOP-033,Tops,XS,1,1399.0,545.35,58.5,31.38,Google Ads,True,2025-07-22
ORD-000074,ORD-000074-1,2025-07-03,CUST-00002,OUT-010,Outerwear,S,1,4469.0,1855.78,70.19,95.85,Organic/Email,False,
ORD-000072,ORD-000072-1,2025-07-03,CUST-00063,BOT-015,Bottoms,L,2,859.0,350.97,76.49,38.08,Google Ads,False,
ORD-000073,ORD-000073-1,2025-07-03,CUST-00064,OUT-001,Outerwear,M,1,4309.0,1842.78,54.89,92.49,Influencer,False,
ORD-000075,ORD-000075-1,2025-07-03,CUST-00037,ACC-008,Accessories,One Size,1,1149.0,310.78,72.54,26.13,Organic/Email,False,
ORD-000075,ORD-000075-2,2025-07-03,CUST-00037,OUT-006,Outerwear,XL,1,2309.0,894.55,69.57,50.49,Organic/Email,True,2025-07-20
ORD-000076,ORD-000076-1,2025-07-03,CUST-00065,DRE-030,Dresses,XS,1,3089.0,1206.82,79.78,66.87,Google Ads,True,2025-07-15
ORD-000078,ORD-000078-1,2025-07-03,CUST-00067,BOT-009,Bottoms,L,1,729.0,319.57,80.86,17.31,Instagram Ads,False,
ORD-000065,ORD-000065-1,2025-07-03,CUST-00056,FOO-007,Footwear,7,1,2309.0,1013.74,63.8,50.49,Instagram Ads,False,
ORD-000071,ORD-000071-1,2025-07-03,CUST-00062,TOP-007,Tops,XL,2,1089.0,432.95,58.34,47.74,Google Ads,True,2025-07-22
ORD-000064,ORD-000064-1,2025-07-03,CUST-00055,OUT-013,Outerwear,M,1,4509.0,1638.63,68.62,96.69,Instagram Ads,True,2025-07-09
ORD-000077,ORD-000077-1,2025-07-03,CUST-00066,FOO-005,Footwear,8,1,3289.0,1403.55,76.64,71.07,Instagram Ads,False,
ORD-000063,ORD-000063-1,2025-07-03,CUST-00054,ACC-009,Accessories,One Size,1,1119.0,390.44,71.8,25.5,Affiliate,False,
ORD-000051,ORD-000051-1,2025-07-03,CUST-00046,TOP-017,Tops,M,1,619.0,198.5,76.95,15.0,Influencer,False,
ORD-000052,ORD-000052-1,2025-07-03,CUST-00047,OUT-001,Outerwear,L,1,4309.0,1842.78,57.47,92.49,Google Ads,False,
ORD-000053,ORD-000053-1,2025-07-03,CUST-00048,DRE-008,Dresses,XS,2,3299.0,999.26,81.31,140.56,Instagram Ads,True,2025-07-19
ORD-000054,ORD-000054-1,2025-07-03,CUST-00004,TOP-032,Tops,XL,1,499.0,164.38,78.1,12.48,Instagram Ads,False,
ORD-000055,ORD-000055-1,2025-07-03,CUST-00049,FOO-017,Footwear,7,1,1319.0,659.01,71.66,29.7,Instagram Ads,True,2025-07-17
ORD-000056,ORD-000056-1,2025-07-03,CUST-00050,TOP-004,Tops,L,1,809.0,332.98,77.58,18.99,Instagram Ads,True,2025-07-11
ORD-000057,ORD-000057-1,2025-07-03,CUST-00051,TOP-018,Tops,M,1,1129.0,441.41,70.16,25.71,Instagram Ads,False,
ORD-000058,ORD-000058-1,2025-07-03,CUST-00026,ACC-009,Accessories,One Size,1,1119.0,390.44,51.04,25.5,Organic/Email,False,
ORD-000063,ORD-000063-2,2025-07-03,CUST-00054,DRE-008,Dresses,XL,1,2909.09,999.26,65.77,63.09,Affiliate,False,
ORD-000059,ORD-000059-1,2025-07-03,CUST-00051,FOO-014,Footwear,11,1,2329.0,1000.6,74.43,50.91,Organic/Email,False,
ORD-000060,ORD-000060-1,2025-07-03,CUST-00052,ACC-005,Accessories,One Size,1,1289.0,327.27,70.67,29.07,Google Ads,False,
ORD-000060,ORD-000060-2,2025-07-03,CUST-00052,FOO-016,Footwear,10,1,3639.0,1557.89,96.81,78.42,Google Ads,False,
ORD-000060,ORD-000060-3,2025-07-03,CUST-00052,BOT-008,Bottoms,S,1,1569.0,588.48,83.68,34.95,Google Ads,True,2025-07-21
ORD-000061,ORD-000061-1,2025-07-03,CUST-00019,BOT-015,Bottoms,XS,1,859.0,350.97,69.6,20.04,Organic/Email,True,2025-07-12
ORD-000062,ORD-000062-1,2025-07-03,CUST-00053,TOP-017,Tops,XL,1,619.0,198.5,45.34,15.0,Instagram Ads,True,2025-07-17
ORD-000062,ORD-000062-2,2025-07-03,CUST-00053,ACC-009,Accessories,One Size,1,1119.0,390.44,88.02,25.5,Instagram Ads,False,
ORD-000058,ORD-000058-2,2025-07-03,CUST-00026,BOT-024,Bottoms,XL,1,2039.0,799.12,64.88,44.82,Organic/Email,False,
ORD-000090,ORD-000090-1,2025-07-04,CUST-00077,TOP-030,Tops,XL,1,1159.0,424.76,73.49,26.34,Influencer,False,
ORD-000091,ORD-000091-1,2025-07-04,CUST-00078,TOP-028,Tops,XL,1,499.0,195.35,62.97,12.48,Instagram Ads,True,2025-07-15
ORD-000092,ORD-000092-1,2025-07-04,CUST-00079,ACC-008,Accessories,One Size,1,1149.0,310.78,52.85,26.13,Affiliate,False,
ORD-000093,ORD-000093-1,2025-07-04,CUST-00013,ACC-009,Accessories,One Size,1,1119.0,390.44,87.23,25.5,Organic/Email,False,
ORD-000094,ORD-000094-1,2025-07-04,CUST-00080,FOO-020,Footwear,10,1,3329.0,1397.71,75.45,71.91,Instagram Ads,True,2025-07-11
ORD-000095,ORD-000095-1,2025-07-04,CUST-00081,BOT-024,Bottoms,L,1,2039.0,799.12,85.44,44.82,Affiliate,False,
ORD-000096,ORD-000096-1,2025-07-04,CUST-00082,ACC-006,Accessories,One Size,1,359.0,108.58,71.75,9.54,Instagram Ads,False,
ORD-000098,ORD-000098-1,2025-07-04,CUST-00040,TOP-023,Tops,S,1,879.0,300.27,62.98,20.46,Google Ads,False,
ORD-000097,ORD-000097-1,2025-07-04,CUST-00083,BOT-010,Bottoms,S,2,1869.0,652.35,69.39,80.5,Influencer,True,2025-07-10
ORD-000097,ORD-000097-2,2025-07-04,CUST-00083,BOT-025,Bottoms,L,1,1859.0,754.26,70.81,41.04,Influencer,True,2025-07-14
ORD-000099,ORD-000099-1,2025-07-04,CUST-00084,OUT-006,Outerwear,M,1,2309.0,894.55,69.69,50.49,Google Ads,False,
ORD-000099,ORD-000099-2,2025-07-04,CUST-00084,OUT-010,Outerwear,L,1,4469.0,1855.78,99.5,95.85,Google Ads,False,
ORD-000100,ORD-000100-1,2025-07-04,CUST-00038,DRE-019,Dresses,M,1,2439.0,769.09,64.36,53.22,Influencer,True,2025-07-20
ORD-000089,ORD-000089-2,2025-07-04,CUST-00076,OUT-002,Outerwear,S,2,4229.0,1535.78,77.06,179.62,Google Ads,False,
ORD-000096,ORD-000096-2,2025-07-04,CUST-00082,ACC-012,Accessories,One Size,2,319.0,85.4,56.66,15.4,Instagram Ads,True,2025-07-18
ORD-000088,ORD-000088-2,2025-07-04,CUST-00075,TOP-023,Tops,XS,1,879.0,300.27,69.49,20.46,Google Ads,False,
ORD-000089,ORD-000089-1,2025-07-04,CUST-00076,BOT-026,Bottoms,XL,2,839.0,348.62,84.49,37.24,Google Ads,True,2025-07-24
ORD-000080,ORD-000080-1,2025-07-04,CUST-00068,ACC-013,Accessories,One Size,1,799.0,261.13,59.56,18.78,Instagram Ads,False,
ORD-000079,ORD-000079-1,2025-07-04,CUST-00049,TOP-005,Tops,L,1,1299.0,475.11,87.23,29.28,Organic/Email,False,
ORD-000079,ORD-000079-2,2025-07-04,CUST-00049,DRE-010,Dresses,M,1,1989.0,788.76,91.39,43.77,Organic/Email,True,2025-07-10
ORD-000079,ORD-000079-3,2025-07-04,CUST-00049,OUT-011,Outerwear,XL,1,3359.0,1390.12,69.16,72.54,Organic/Email,False,
ORD-000081,ORD-000081-1,2025-07-04,CUST-00028,DRE-024,Dresses,XL,1,1919.0,637.86,79.45,42.3,Organic/Email,False,
ORD-000081,ORD-000081-2,2025-07-04,CUST-00028,TOP-015,Tops,XS,1,1309.0,526.42,49.18,29.49,Organic/Email,False,
ORD-000088,ORD-000088-1,2025-07-04,CUST-00075,TOP-005,Tops,S,2,1299.0,475.11,68.14,56.56,Google Ads,False,
ORD-000082,ORD-000082-1,2025-07-04,CUST-00069,OUT-007,Outerwear,XL,1,2649.0,1026.21,83.6,57.63,Instagram Ads,False,
ORD-000081,ORD-000081-3,2025-07-04,CUST-00028,ACC-011,Accessories,One Size,1,1349.0,432.78,74.67,30.33,Organic/Email,False,
ORD-000083,ORD-000083-1,2025-07-04,CUST-00070,ACC-004,Accessories,One Size,1,1409.0,459.78,60.21,31.59,Instagram Ads,False,
ORD-000084,ORD-000084-1,2025-07-04,CUST-00071,BOT-022,Bottoms,XL,1,769.0,293.91,75.52,18.15,Affiliate,False,
ORD-000085,ORD-000085-1,2025-07-04,CUST-00072,DRE-006,Dresses,XS,1,1929.0,637.98,50.7,42.51,Influencer,False,
ORD-000085,ORD-000085-2,2025-07-04,CUST-00072,BOT-010,Bottoms,XL,2,1869.0,652.35,47.03,80.5,Influencer,True,2025-07-20
ORD-000086,ORD-000086-1,2025-07-04,CUST-00073,FOO-013,Footwear,7,1,3479.0,1492.72,54.03,75.06,Google Ads,False,
ORD-000087,ORD-000087-1,2025-07-04,CUST-00074,DRE-020,Dresses,S,1,1709.0,536.3,81.16,37.89,Google Ads,False,
ORD-000082,ORD-000082-2,2025-07-04,CUST-00069,BOT-023,Bottoms,XL,1,2039.0,844.87,48.28,44.82,Instagram Ads,False,
ORD-000121,ORD-000121-1,2025-07-05,CUST-00102,TOP-029,Tops,XL,1,579.0,213.33,73.65,14.16,Instagram Ads,True,2025-07-15
ORD-000120,ORD-000120-1,2025-07-05,CUST-00101,FOO-014,Footwear,7,1,2329.0,1000.6,44.46,50.91,Instagram Ads,False,
ORD-000119,ORD-000119-2,2025-07-05,CUST-00100,BOT-008,Bottoms,XL,1,1569.0,588.48,75.07,34.95,Instagram Ads,False,
ORD-000119,ORD-000119-1,2025-07-05,CUST-00100,DRE-016,Dresses,M,1,2589.0,1003.24,70.29,56.37,Instagram Ads,True,2025-07-14
ORD-000117,ORD-000117-2,2025-07-05,CUST-00098,BOT-030,Bottoms,XS,2,1159.0,486.45,93.34,50.68,Instagram Ads,False,
ORD-000118,ORD-000118-1,2025-07-05,CUST-00099,DRE-019,Dresses,XL,1,2439.0,769.09,73.32,53.22,Influencer,False,
ORD-000117,ORD-000117-3,2025-07-05,CUST-00098,BOT-016,Bottoms,L,1,1689.0,696.69,80.95,37.47,Instagram Ads,False,
ORD-000122,ORD-000122-1,2025-07-05,CUST-00103,DRE-020,Dresses,XL,1,1709.0,536.3,69.36,37.89,Organic/Email,True,2025-07-09
ORD-000118,ORD-000118-2,2025-07-05,CUST-00099,TOP-008,Tops,XS,1,1469.0,600.37,60.94,32.85,Influencer,True,2025-07-12
ORD-000131,ORD-000131-1,2025-07-05,CUST-00111,BOT-029,Bottoms,S,1,1599.0,683.11,64.59,35.58,Google Ads,False,
ORD-000128,ORD-000128-1,2025-07-05,CUST-00100,BOT-028,Bottoms,S,1,1813.46,691.35,73.28,40.08,Google Ads,False,
ORD-000123,ORD-000123-1,2025-07-05,CUST-00104,OUT-001,Outerwear,XL,1,4309.0,1842.78,73.11,92.49,Google Ads,False,
ORD-000124,ORD-000124-1,2025-07-05,CUST-00105,BOT-002,Bottoms,S,1,1569.0,560.78,77.69,34.95,Influencer,True,2025-07-11
ORD-000125,ORD-000125-1,2025-07-05,CUST-00106,BOT-012,Bottoms,XS,1,1409.0,516.76,65.99,31.59,Google Ads,False,
ORD-000126,ORD-000126-1,2025-07-05,CUST-00107,TOP-033,Tops,L,2,1399.0,545.35,82.72,60.76,Influencer,True,2025-07-14
ORD-000126,ORD-000126-2,2025-07-05,CUST-00107,TOP-026,Tops,S,1,1259.0,487.4,64.95,28.44,Influencer,False,
ORD-000127,ORD-000127-1,2025-07-05,CUST-00108,TOP-008,Tops,L,1,1260.98,600.37,55.3,28.48,Instagram Ads,False,
ORD-000129,ORD-000129-1,2025-07-05,CUST-00109,TOP-018,Tops,XS,2,1129.0,441.41,68.85,49.42,Instagram Ads,False,
ORD-000130,ORD-000130-1,2025-07-05,CUST-00110,DRE-016,Dresses,XS,1,2589.0,1003.24,65.52,56.37,Google Ads,True,2025-07-24
ORD-000122,ORD-000122-2,2025-07-05,CUST-00103,ACC-008,Accessories,One Size,2,1149.0,310.78,73.82,50.26,Organic/Email,False,
ORD-000117,ORD-000117-1,2025-07-05,CUST-00098,OUT-011,Outerwear,M,1,3359.0,1390.12,64.18,72.54,Instagram Ads,False,
ORD-000110,ORD-000110-1,2025-07-05,CUST-00090,DRE-023,Dresses,L,1,1039.0,372.69,76.65,23.82,Organic/Email,True,2025-07-16
ORD-000115,ORD-000115-1,2025-07-05,CUST-00096,OUT-020,Outerwear,L,1,3329.0,1419.12,62.05,71.91,Instagram Ads,True,2025-07-24
ORD-000116,ORD-000116-1,2025-07-05,CUST-00097,DRE-008,Dresses,S,1,3299.0,999.26,82.25,71.28,Instagram Ads,False,
ORD-000101,ORD-000101-1,2025-07-05,CUST-00085,FOO-018,Footwear,6,1,2949.0,1206.42,82.95,63.93,Influencer,False,
ORD-000102,ORD-000102-1,2025-07-05,CUST-00086,TOP-015,Tops,XS,2,1309.0,526.42,63.5,56.98,Instagram Ads,False,
ORD-000104,ORD-000104-1,2025-07-05,CUST-00088,BOT-010,Bottoms,L,1,1869.0,652.35,88.05,41.25,Google Ads,True,2025-07-15
ORD-000105,ORD-000105-1,2025-07-05,CUST-00089,OUT-006,Outerwear,L,1,2309.0,894.55,64.61,50.49,Instagram Ads,False,
ORD-000105,ORD-000105-2,2025-07-05,CUST-00089,TOP-029,Tops,S,1,579.0,213.33,78.11,14.16,Instagram Ads,False,
ORD-000106,ORD-000106-1,2025-07-05,CUST-00090,TOP-032,Tops,M,1,499.0,164.38,58.22,12.48,Instagram Ads,False,
ORD-000107,ORD-000107-1,2025-07-05,CUST-00068,DRE-024,Dresses,XL,1,1919.0,637.86,65.63,42.3,Organic/Email,False,
ORD-000108,ORD-000108-1,2025-07-05,CUST-00091,DRE-030,Dresses,S,1,3089.0,1206.82,80.12,66.87,Instagram Ads,True,2025-07-18
ORD-000103,ORD-000103-1,2025-07-05,CUST-00087,TOP-031,Tops,M,1,729.0,279.86,67.07,17.31,Instagram Ads,False,
ORD-000111,ORD-000111-1,2025-07-05,CUST-00092,TOP-014,Tops,M,1,1309.0,512.86,57.46,29.49,Influencer,True,2025-07-24
ORD-000111,ORD-000111-2,2025-07-05,CUST-00092,TOP-033,Tops,XS,1,1399.0,545.35,68.14,31.38,Influencer,True,2025-07-20
ORD-000111,ORD-000111-3,2025-07-05,CUST-00092,FOO-017,Footwear,11,2,1319.0,659.01,88.9,57.4,Influencer,True,2025-07-09
ORD-000112,ORD-000112-1,2025-07-05,CUST-00093,ACC-008,Accessories,One Size,1,1149.0,310.78,106.71,26.13,Influencer,False,
ORD-000113,ORD-000113-1,2025-07-05,CUST-00094,BOT-023,Bottoms,XL,2,2039.0,844.87,61.87,87.64,Instagram Ads,True,2025-07-20
ORD-000114,ORD-000114-1,2025-07-05,CUST-00095,BOT-011,Bottoms,S,1,1439.0,622.5,74.76,32.22,Instagram Ads,False,
ORD-000114,ORD-000114-2,2025-07-05,CUST-00095,ACC-014,Accessories,One Size,1,939.0,249.47,83.69,21.72,Instagram Ads,False,
ORD-000109,ORD-000109-1,2025-07-05,CUST-00045,FOO-004,Footwear,11,1,3009.0,1305.59,50.03,65.19,Google Ads,False,
ORD-000114,ORD-000114-3,2025-07-05,CUST-00095,OUT-020,Outerwear,XS,1,3329.0,1419.12,65.23,71.91,Instagram Ads,False,
ORD-000164,ORD-000164-1,2025-07-06,CUST-00138,TOP-023,Tops,M,1,879.0,300.27,77.21,20.46,Instagram Ads,False,
ORD-000163,ORD-000163-2,2025-07-06,CUST-00137,ACC-007,Accessories,One Size,1,1019.0,341.15,63.99,23.4,Organic/Email,False,
